"","All","Asian","Black","Chinese","Mixed","White","Other"
"geography","%","%","%","%","%","%","%"
"Barking and Dagenham","82","87","86","88","83","77","76"
"Barnet","86","87","86","95","88","87","83"
"Barnsley","80","90","81","0","75","80","90"
"Bath and North East Somerset","82","89","100","88","87","82","47"
"Bedford","80","81","82","100","78","80","92"
"Bexley","87","93","90","91","88","85","84"
"Birmingham","81","82","82","86","80","79","80"
"Blackburn with Darwen","82","86","76","67","88","79","85"
"Blackpool","81","94","67","100","82","81","88"
"Bolton","82","86","77","74","82","81","79"
"Bournemouth","83","91","85","100","84","82","83"
"Bracknell Forest","86","92","92","100","93","85","88"
"Bradford","81","84","83","90","81","79","74"
"Brent","83","87","84","100","82","84","77"
"Brighton and Hove","83","80","88","92","84","83","74"
"Bristol, City of","83","81","83","100","81","83","81"
"Bromley","88","94","85","96","90","88","90"
"Buckinghamshire","84","84","87","84","84","84","89"
"Bury","82","82","84","86","82","83","79"
"Calderdale","82","82","86","82","85","82","73"
"Cambridgeshire","81","89","86","90","85","81","78"
"Camden","83","81","85","92","85","83","82"
"Central Bedfordshire","84","91","90","100","89","83","90"
"Cheshire East","84","85","72","56","84","85","92"
"Cheshire West and Chester","80","93","72","88","84","80","77"
"City of London","!","!","!","!","!","!","!"
"Cornwall","82","82","86","73","83","82","65"
"County Durham","84","79","100","76","91","84","79"
"Coventry","81","86","85","96","84","80","80"
"Croydon","85","90","86","93","84","83","84"
"Cumbria","82","73","67","57","87","82","80"
"Darlington","86","81","89","100","88","86","75"
"Derby","82","86","88","84","80","82","79"
"Derbyshire","81","82","83","83","86","81","81"
"Devon","84","80","83","83","86","84","78"
"Doncaster","79","82","78","71","79","79","74"
"Dorset","82","89","80","88","83","82","68"
"Dudley","80","81","73","93","76","81","77"
"Ealing","86","87","84","91","90","86","85"
"East Riding of Yorkshire","82","90","100","100","86","82","73"
"East Sussex","83","87","77","95","83","83","70"
"Enfield","80","85","79","96","87","80","83"
"Essex","84","89","86","86","85","83","86"
"Gateshead","84","94","84","82","90","84","83"
"Gloucestershire","81","87","80","92","79","82","75"
"Greenwich","84","91","87","91","86","80","87"
"Hackney","86","89","85","94","85","86","84"
"Halton","79","100","100","N/A","88","79","67"
"Hammersmith and Fulham","88","92","87","100","88","89","85"
"Hampshire","84","89","84","89","86","84","82"
"Haringey","85","90","83","95","87","87","81"
"Harrow","87","92","81","100","88","83","82"
"Hartlepool","82","89","80","100","94","82","67"
"Havering","85","88","87","100","86","84","89"
"Herefordshire, County of","84","100","82","100","89","84","67"
"Hertfordshire","84","88","83","90","86","84","82"
"Hillingdon","85","90","87","100","83","81","84"
"Hounslow","84","88","79","100","83","83","82"
"Isle of Wight","81","100","100","100","85","81","33"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","84","82","83","93","83","84","90"
"Kensington and Chelsea","86","84","87","83","85","87","88"
"Kent","82","88","90","88","88","81","81"
"Kingston upon Hull, City of","80","86","71","33","83","81","81"
"Kingston upon Thames","86","84","81","98","88","86","86"
"Kirklees","80","82","81","81","81","79","85"
"Knowsley","79","96","84","83","82","79","58"
"Lambeth","85","86","84","92","86","87","80"
"Lancashire","82","81","82","91","82","82","70"
"Leeds","79","80","80","88","81","80","74"
"Leicester","79","84","84","86","83","75","82"
"Leicestershire","83","90","82","87","86","83","74"
"Lewisham","84","88","81","90","84","86","85"
"Lincolnshire","81","93","75","95","87","81","84"
"Liverpool","79","82","84","88","79","79","75"
"Luton","82","85","84","92","82","79","81"
"Manchester","80","82","84","90","83","79","77"
"Medway","82","90","88","100","83","81","90"
"Merton","85","90","81","96","84","85","92"
"Middlesbrough","80","82","81","100","81","80","74"
"Milton Keynes","85","91","89","100","85","83","84"
