"","Boys","","Girls",""
"Ethnicity","Year 1","Year 2","Year 1","Year 2"
"All","79","90","86","94"
"Asian","82","92","89","95"
"Bangladeshi","79","91","88","95"
"Indian","88","95","93","97"
"Pakistani","78","90","86","95"
"Asian other","84","92","90","95"
"Black","80","89","88","94"
"Black African","82","90","89","94"
"Black Caribbean","75","87","85","94"
"Black other","79","89","86","93"
"Chinese","89","94","92","96"
"Mixed","81","90","88","94"
"Mixed White/Asian","85","93","90","96"
"Mixed White/Black African","82","91","87","94"
"Mixed White/Black Caribbean","75","88","84","93"
"Mixed other","82","91","89","94"
"White","79","90","86","94"
"White British","79","90","86","94"
"White Irish","80","88","86","93"
"Gypsy/Roma","38","59","46","65"
"Irish Traveller","37","52","48","65"
"White other","78","89","84","92"
"Other","78","88","84","92"
"Unknown","59","72","66","77"
