"gender","Ethnicity","Year 1","Year 2"
"Boys","All","79","90"
"Boys","Asian","82","92"
"Boys","Bangladeshi","79","91"
"Boys","Indian","88","95"
"Boys","Pakistani","78","90"
"Boys","Asian other","84","92"
"Boys","Black","80","89"
"Boys","Black African","82","90"
"Boys","Black Caribbean","75","87"
"Boys","Black other","79","89"
"Boys","Chinese","89","94"
"Boys","Mixed","81","90"
"Boys","Mixed White/Asian","85","93"
"Boys","Mixed White/Black African","82","91"
"Boys","Mixed White/Black Caribbean","75","88"
"Boys","Mixed other","82","91"
"Boys","White","79","90"
"Boys","White British","79","90"
"Boys","White Irish","80","88"
"Boys","Gypsy/Roma","38","59"
"Boys","Irish Traveller","37","52"
"Boys","White other","78","89"
"Boys","Other","78","88"
"Boys","Unknown","59","72"
"Girls","All","86","94"
"Girls","Asian","89","95"
"Girls","Bangladeshi","88","95"
"Girls","Indian","93","97"
"Girls","Pakistani","86","95"
"Girls","Asian other","90","95"
"Girls","Black","88","94"
"Girls","Black African","89","94"
"Girls","Black Caribbean","85","94"
"Girls","Black other","86","93"
"Girls","Chinese","92","96"
"Girls","Mixed","88","94"
"Girls","Mixed White/Asian","90","96"
"Girls","Mixed White/Black African","87","94"
"Girls","Mixed White/Black Caribbean","84","93"
"Girls","Mixed other","89","94"
"Girls","White","86","94"
"Girls","White British","86","94"
"Girls","White Irish","86","93"
"Girls","Gypsy/Roma","46","65"
"Girls","Irish Traveller","48","65"
"Girls","White other","84","92"
"Girls","Other","84","92"
"Girls","Unknown","66","77"
