"Ethnicity","Geography","boys","Girls "
"All","Barking and Dagenham","78","86"
"All","Barnet","84","88"
"All","Barnsley","74","86"
"All","Bath and North East Somerset","80","83"
"All","Bedford","78","82"
"All","Bexley","84","89"
"All","Birmingham","77","85"
"All","Blackburn with Darwen","79","85"
"All","Blackpool","78","84"
"All","Bolton","78","86"
"All","Bournemouth","78","88"
"All","Bracknell Forest","82","90"
"All","Bradford","76","85"
"All","Brent","79","87"
"All","Brighton and Hove","78","87"
"All","Bristol, City of","80","86"
"All","Bromley","85","91"
"All","Buckinghamshire","81","88"
"All","Bury","78","86"
"All","Calderdale","81","84"
"All","Cambridgeshire","77","85"
"All","Camden","81","85"
"All","Central Bedfordshire","81","87"
"All","Cheshire East","82","87"
"All","Cheshire West and Chester","77","84"
"All","City of London","!","!"
"All","Cornwall","78","85"
"All","County Durham","81","88"
"All","Coventry","78","85"
"All","Croydon","81","88"
"All","Cumbria","78","86"
"All","Darlington","82","89"
"All","Derby","79","85"
"All","Derbyshire","78","85"
"All","Devon","80","88"
"All","Doncaster","75","83"
"All","Dorset","78","86"
"All","Dudley","77","83"
"All","Ealing","82","89"
"All","East Riding of Yorkshire","79","86"
"All","East Sussex","79","87"
"All","Enfield","78","83"
"All","Essex","81","86"
"All","Gateshead","81","87"
"All","Gloucestershire","78","85"
"All","Greenwich","80","88"
"All","Hackney","83","89"
"All","Halton","76","83"
"All","Hammersmith and Fulham","87","89"
"All","Hampshire","81","88"
"All","Haringey","84","87"
"All","Harrow","85","89"
"All","Hartlepool","77","88"
"All","Havering","82","88"
"All","Herefordshire, County of","80","89"
"All","Hertfordshire","82","87"
"All","Hillingdon","82","87"
"All","Hounslow","81","86"
"All","Isle of Wight","77","85"
"All","Isles of Scilly","!","!"
"All","Islington","80","88"
"All","Kensington and Chelsea","85","88"
"All","Kent","78","86"
"All","Kingston upon Hull, City of","75","85"
"All","Kingston upon Thames","84","89"
"All","Kirklees","76","84"
"All","Knowsley","76","83"
"All","Lambeth","82","89"
"All","Lancashire","78","86"
"All","Leeds","76","83"
"All","Leicester","76","83"
"All","Leicestershire","81","86"
"All","Lewisham","80","87"
"All","Lincolnshire","78","85"
"All","Liverpool","74","83"
"All","Luton","79","85"
"All","Manchester","76","84"
"All","Medway","78","85"
"All","Merton","84","87"
"All","Middlesbrough","77","83"
"All","Milton Keynes","82","88"
"All","Newcastle upon Tyne","80","86"
"All","Newham","84","91"
"All","Norfolk","76","84"
"All","North East Lincolnshire","78","86"
"All","North Lincolnshire","79","86"
"All","North Somerset","83","88"
"All","North Tyneside","81","86"
"All","North Yorkshire","78","84"
"All","Northamptonshire","79","86"
"All","Northumberland","82","88"
"All","Nottingham","76","82"
"All","Nottinghamshire","76","84"
