"","Boys","","Girls",""
"Ethnicity","FSM","Non-FSM","FSM","Non-FSM"
"All","65","81","75","88"
"Asian","74","83","85","90"
"Bangladeshi","76","80","86","88"
"Indian","77","88","89","93"
"Pakistani","73","79","84","87"
"Asian other","75","85","83","91"
"Black","75","81","85","89"
"Black African","78","83","87","89"
"Black Caribbean","69","78","80","87"
"Black other","75","80","82","88"
"Chinese","84","90","90","92"
"Mixed","69","84","79","90"
"Mixed White/Asian","74","87","80","91"
"Mixed White/Black African","73","84","80","89"
"Mixed White/Black Caribbean","65","79","77","87"
"Mixed other","70","85","80","90"
"White","62","81","73","88"
"White British","62","82","73","88"
"White Irish","57","84","58","90"
"Gypsy/Roma","34","39","45","47"
"Irish Traveller","36","38","45","50"
"White other","67","79","75","85"
"Other","72","79","78","85"
"Unknown","61","59","74","65"
