"Gender","Ethnicity","Year 1","Year 2"
"Boys","All","78","89"
"Boys","Asian","82","91"
"Boys","Bangladeshi","80","89"
"Boys","Indian","88","94"
"Boys","Pakistani","78","90"
"Boys","Asian other","82","91"
"Boys","Black","80","89"
"Boys","Black African","81","90"
"Boys","Black Caribbean","75","87"
"Boys","Black other","78","88"
"Boys","Chinese","89","94"
"Boys","Mixed","80","91"
"Boys","Mixed White/Asian","83","93"
"Boys","Mixed White/Black African","81","91"
"Boys","Mixed White/Black Caribbean","74","87"
"Boys","Mixed other","81","91"
"Boys","White","78","89"
"Boys","White British","78","90"
"Boys","White Irish","79","89"
"Boys","Gypsy/Roma","39","58"
"Boys","Irish Traveller","38","53"
"Boys","White other","78","88"
"Boys","Other","75","87"
"Boys","Unknown","60","71"
"Girls","All","85","94"
"Girls","Asian","88","95"
"Girls","Bangladeshi","88","94"
"Girls","Indian","93","97"
"Girls","Pakistani","86","94"
"Girls","Asian other","88","95"
"Girls","Black","87","94"
"Girls","Black African","88","94"
"Girls","Black Caribbean","84","94"
"Girls","Black other","86","94"
"Girls","Chinese","94","97"
"Girls","Mixed","87","95"
"Girls","Mixed White/Asian","90","96"
"Girls","Mixed White/Black African","87","94"
"Girls","Mixed White/Black Caribbean","84","93"
"Girls","Mixed other","88","95"
"Girls","White","85","94"
"Girls","White British","85","94"
"Girls","White Irish","86","94"
"Girls","Gypsy/Roma","46","66"
"Girls","Irish Traveller","46","64"
"Girls","White other","85","92"
"Girls","Other","83","91"
"Girls","Unknown","65","76"
