"Ethnicity","Local authority","%"
"All","Barking and Dagenham","81"
"All","Barnet","86"
"All","Barnsley","80"
"All","Bath and North East Somerset","82"
"All","Bedford","80"
"All","Bexley","84"
"All","Birmingham","81"
"All","Blackburn with Darwen","82"
"All","Blackpool","82"
"All","Bolton","81"
"All","Bournemouth, Christchurch and Poole","82"
"All","Bracknell Forest","85"
"All","Bradford","81"
"All","Brent","83"
"All","Brighton and Hove","80"
"All","Bristol, City of","82"
"All","Bromley","86"
"All","Buckinghamshire","82"
"All","Bury","82"
"All","Calderdale","83"
"All","Cambridgeshire","80"
"All","Camden","81"
"All","Central Bedfordshire","82"
"All","Cheshire East","84"
"All","Cheshire West and Chester","80"
"All","City of London","!"
"All","Cornwall","81"
"All","County Durham","82"
"All","Coventry","80"
"All","Croydon","84"
"All","Cumbria","80"
"All","Darlington","83"
"All","Derby","83"
"All","Derbyshire","80"
"All","Devon","82"
"All","Doncaster","80"
"All","Dorset","81"
"All","Dudley","79"
"All","Ealing","84"
"All","East Riding of Yorkshire","83"
"All","East Sussex","82"
"All","Enfield","81"
"All","Essex","82"
"All","Gateshead","83"
"All","Gloucestershire","81"
"All","Greenwich","83"
"All","Hackney","86"
"All","Halton","80"
"All","Hammersmith and Fulham","86"
"All","Hampshire","83"
"All","Haringey","84"
"All","Harrow","87"
"All","Hartlepool","84"
"All","Havering","83"
"All","Herefordshire, County of","82"
"All","Hertfordshire","84"
"All","Hillingdon","84"
"All","Hounslow","85"
"All","Isle of Wight","78"
"All","Isles of Scilly","!"
"All","Islington","84"
"All","Kensington and Chelsea","85"
"All","Kent","82"
"All","Kingston upon Hull, City of","79"
"All","Kingston upon Thames","84"
"All","Kirklees","79"
"All","Knowsley","80"
"All","Lambeth","82"
"All","Lancashire","81"
"All","Leeds","79"
"All","Leicester","81"
"All","Leicestershire","83"
"All","Lewisham","81"
"All","Lincolnshire","81"
"All","Liverpool","78"
"All","Luton","79"
"All","Manchester","79"
"All","Medway","82"
"All","Merton","83"
"All","Middlesbrough","78"
"All","Milton Keynes","84"
"All","Newcastle upon Tyne","80"
"All","Newham","87"
"All","Norfolk","79"
"All","North East Lincolnshire","82"
"All","North Lincolnshire","82"
"All","North Somerset","84"
"All","North Tyneside","83"
"All","North Yorkshire","82"
"All","Northamptonshire","82"
"All","Northumberland","84"
"All","Nottingham","79"
"All","Nottinghamshire","80"
"All","Oldham","79"
"All","Oxfordshire","82"
"All","Peterborough","77"
"All","Plymouth","83"
"All","Portsmouth","78"
"All","Reading","83"
"All","Redbridge","84"
"All","Redcar and Cleveland","81"
"All","Richmond upon Thames","87"
"All","Rochdale","78"
"All","Rotherham","80"
"All","Rutland","85"
"All","Salford","80"
"All","Sandwell","81"
"All","Sefton","83"
"All","Sheffield","77"
"All","Shropshire","81"
"All","Slough","86"
"All","Solihull","85"
"All","Somerset","81"
"All","South Gloucestershire","85"
"All","South Tyneside","82"
"All","Southampton","82"
"All","Southend-on-Sea","83"
"All","Southwark","84"
"All","St. Helens","82"
"All","Staffordshire","84"
"All","Stockport","82"
"All","Stockton-on-Tees","84"
"All","Stoke-on-Trent","78"
"All","Suffolk","81"
"All","Sunderland","81"
"All","Surrey","84"
"All","Sutton","85"
"All","Swindon","80"
"All","Tameside","78"
"All","Telford and Wrekin","84"
"All","Thurrock","83"
"All","Torbay","84"
"All","Tower Hamlets","84"
"All","Trafford","85"
"All","Wakefield","80"
"All","Walsall","82"
"All","Waltham Forest","86"
"All","Wandsworth","85"
"All","Warrington","85"
"All","Warwickshire","84"
"All","West Berkshire","82"
"All","West Sussex","81"
"All","Westminster","86"
"All","Wigan","80"
"All","Wiltshire","80"
"All","Windsor and Maidenhead","83"
"All","Wirral","82"
"All","Wokingham","84"
"All","Wolverhampton","81"
"All","Worcestershire","82"
"All","York","84"
"Asian","Barking and Dagenham","86"
"Asian","Barnet","89"
"Asian","Barnsley","95"
"Asian","Bath and North East Somerset","76"
"Asian","Bedford","85"
"Asian","Bexley","92"
"Asian","Birmingham","83"
"Asian","Blackburn with Darwen","84"
"Asian","Blackpool","90"
"Asian","Bolton","84"
"Asian","Bournemouth, Christchurch and Poole","92"
"Asian","Bracknell Forest","89"
"Asian","Bradford","84"
"Asian","Brent","87"
"Asian","Brighton and Hove","77"
"Asian","Bristol, City of","78"
"Asian","Bromley","96"
"Asian","Buckinghamshire","85"
"Asian","Bury","78"
"Asian","Calderdale","81"
"Asian","Cambridgeshire","85"
"Asian","Camden","80"
"Asian","Central Bedfordshire","87"
"Asian","Cheshire East","90"
"Asian","Cheshire West and Chester","85"
"Asian","City of London","!"
"Asian","Cornwall","94"
"Asian","County Durham","86"
"Asian","Coventry","83"
