"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","All","5-6","All","82","%","649152","531260"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","All","5-6","FSM","70","%","105516","73920"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","All","5-6","Non-FSM","84","%","543636","457340"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","All","78","%","332485","260891"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","FSM","65","%","54305","35421"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","Non-FSM","81","%","278180","225470"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","All","85","%","316667","270369"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","FSM","75","%","51211","38499"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","Non-FSM","87","%","265456","231870"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","All","85","%","70900","60251"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","FSM","79","%","8577","6762"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","Non-FSM","86","%","62323","53489"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","All","82","%","36108","29533"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","FSM","75","%","4349","3253"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","Non-FSM","83","%","31759","26280"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","All","88","%","34792","30718"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","FSM","83","%","4228","3509"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","Non-FSM","89","%","30564","27209"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","All","85","%","11775","9964"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","FSM","77","%","1538","1187"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","Non-FSM","86","%","10237","8777"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","All","82","%","6050","4949"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","FSM","73","%","808","587"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","Non-FSM","83","%","5242","4362"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","All","88","%","5725","5015"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","FSM","82","%","730","600"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","Non-FSM","88","%","4995","4415"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","All","84","%","10538","8836"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","FSM","80","%","1851","1480"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","Non-FSM","85","%","8687","7356"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","All","80","%","5316","4254"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","FSM","76","%","926","708"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","Non-FSM","81","%","4390","3546"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","All","88","%","5222","4582"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","FSM","83","%","925","772"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","Non-FSM","89","%","4297","3810"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","All","83","%","33284","27757"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","FSM","80","%","8436","6744"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","Non-FSM","85","%","24848","21013"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","All","80","%","16873","13450"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","FSM","76","%","4253","3225"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","Non-FSM","81","%","12620","10225"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","All","87","%","16411","14307"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","FSM","84","%","4183","3519"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","Non-FSM","88","%","12228","10788"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","All","85","%","22769","19289"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","FSM","82","%","5441","4458"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","Non-FSM","86","%","17328","14831"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","All","81","%","11501","9336"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","FSM","78","%","2735","2144"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","Non-FSM","82","%","8766","7192"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","All","88","%","11268","9953"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","FSM","86","%","2706","2314"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black African","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","Non-FSM","89","%","8562","7639"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","All","80","%","5737","4562"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","FSM","76","%","1809","1368"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","Non-FSM","81","%","3928","3194"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","All","75","%","2895","2183"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","FSM","70","%","907","636"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","Non-FSM","78","%","1988","1547"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","All","84","%","2842","2379"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","FSM","81","%","902","732"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Caribbean","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Girls","5-6","Non-FSM","85","%","1940","1647"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","All","82","%","4778","3906"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","FSM","77","%","1186","918"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","All","5-6","Non-FSM","83","%","3592","2988"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","All","78","%","2477","1931"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Black Other","ONS 2011 18+1","2018-2019","Academic Year","England","Country","E92000001","Boys","5-6","FSM","73","%","611","445"
