"Ethnicity","FSM","Non-FSM"
"All","70","84"
"Asian","79","86"
"Bangladeshi","80","85"
"Indian","82","91"
"Pakistani","78","82"
"Asian other","77","86"
"Black","80","85"
"Black African","82","86"
"Black Caribbean","76","81"
"Black other","77","83"
"Chinese","86","92"
"Mixed","75","86"
"Mixed White/Asian","77","88"
"Mixed White/Black African","77","86"
"Mixed White/Black Caribbean","72","83"
"Mixed other","77","86"
"White","67","84"
"White British","67","85"
"White Irish","60","87"
"Gypsy/Roma","41","44"
"Irish Traveller","36","49"
"White other","73","82"
"Other","74","80"
"Unknown","66","62"
