"gender","Ethnicity","FSM","Non-FSM"
"Boys","All","65","81"
"Boys","Asian","74","83"
"Boys","Bangladeshi","76","80"
"Boys","Indian","77","88"
"Boys","Pakistani","73","79"
"Boys","Asian other","75","85"
"Boys","Black","75","81"
"Boys","Black African","78","83"
"Boys","Black Caribbean","69","78"
"Boys","Black other","75","80"
"Boys","Chinese","84","90"
"Boys","Mixed","69","84"
"Boys","Mixed White/Asian","74","87"
"Boys","Mixed White/Black African","73","84"
"Boys","Mixed White/Black Caribbean","65","79"
"Boys","Mixed other","70","85"
"Boys","White","62","81"
"Boys","White British","62","82"
"Boys","White Irish","57","84"
"Boys","Gypsy/Roma","34","39"
"Boys","Irish Traveller","36","38"
"Boys","White other","67","79"
"Boys","Other","72","79"
"Boys","Unknown","61","59"
"Girls","All","75","88"
"Girls","Asian","85","90"
"Girls","Bangladeshi","86","88"
"Girls","Indian","89","93"
"Girls","Pakistani","84","87"
"Girls","Asian other","83","91"
"Girls","Black","85","89"
"Girls","Black African","87","89"
"Girls","Black Caribbean","80","87"
"Girls","Black other","82","88"
"Girls","Chinese","90","92"
"Girls","Mixed","79","90"
"Girls","Mixed White/Asian","80","91"
"Girls","Mixed White/Black African","80","89"
"Girls","Mixed White/Black Caribbean","77","87"
"Girls","Mixed other","80","90"
"Girls","White","73","88"
"Girls","White British","73","88"
"Girls","White Irish","58","90"
"Girls","Gypsy/Roma","45","47"
"Girls","Irish Traveller","45","50"
"Girls","White other","75","85"
"Girls","Other","78","85"
"Girls","Unknown","74","65"
