"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","All","All","82","%","664499","548146"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","All","FSM","70","%","91891","64381"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","84","%","572608","483765"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","All","79","%","340242","269304"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","65","%","47426","30890"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","81","%","292816","238414"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","All","86","%","324257","278842"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","75","%","44465","33491"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","88","%","279792","245351"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","All","85","%","71729","61328"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","79","%","7787","6189"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","86","%","63942","55139"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","82","%","36639","30078"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","74","%","3996","2977"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","83","%","32643","27101"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","89","%","35090","31250"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","85","%","3791","3212"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian","ONS 2011 5+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","90","%","31299","28038"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","87","%","11744","10160"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","79","%","1278","1008"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","87","%","10466","9152"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","84","%","6117","5109"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","75","%","696","524"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","85","%","5421","4585"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","90","%","5627","5051"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","FSM","83","%","582","484"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Asian Other","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","Non-FSM","91","%","5045","4567"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","All","83","%","10653","8887"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","FSM","81","%","1758","1425"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","All","Non-FSM","84","%","8895","7462"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","All","79","%","5454","4327"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","FSM","76","%","902","685"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Boys","Non-FSM","80","%","4552","3642"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","Bangladeshi","ONS 2011 18+1","2017-18","Academic Year","England","Country","E92000001","Girls","All","88","%","5199","4560"
