"FSM","Ethnicity","%"
"FSM","All","60"
"FSM","Asian","69"
"FSM","Bangladeshi","73"
"FSM","Indian","75"
"FSM","Pakistani","67"
"FSM","Asian other","68"
"FSM","Black","71"
"FSM","Black African","73"
"FSM","Black Caribbean","67"
"FSM","Black other","68"
"FSM","Chinese","72"
"FSM","Mixed","66"
"FSM","Mixed White/Asian","67"
"FSM","Mixed White/Black African","69"
"FSM","Mixed White/Black Caribbean","62"
"FSM","Mixed other","67"
"FSM","White","57"
"FSM","White British","57"
"FSM","White Irish","50"
"FSM","Gypsy/Roma","31"
"FSM","Irish Traveller","26"
"FSM","White other","60"
"FSM","Other","60"
"FSM","Unknown","58"
"Non-FSM","All","78"
"Non-FSM","Asian","79"
"Non-FSM","Bangladeshi","77"
"Non-FSM","Indian","84"
"Non-FSM","Pakistani","74"
"Non-FSM","Asian other","80"
"Non-FSM","Black","78"
"Non-FSM","Black African","79"
"Non-FSM","Black Caribbean","76"
"Non-FSM","Black other","76"
"Non-FSM","Chinese","85"
"Non-FSM","Mixed","80"
"Non-FSM","Mixed White/Asian","84"
"Non-FSM","Mixed White/Black African","80"
"Non-FSM","Mixed White/Black Caribbean","76"
"Non-FSM","Mixed other","80"
"Non-FSM","White","78"
"Non-FSM","White British","79"
"Non-FSM","White Irish","81"
"Non-FSM","Gypsy/Roma","29"
"Non-FSM","Irish Traveller","37"
"Non-FSM","White other","71"
"Non-FSM","Other","71"
"Non-FSM","Unknown","58"
