"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","71","22"
"Boys","Asian","73","22"
"Boys","Bangladeshi","72","20"
"Boys","Indian","81","29"
"Boys","Pakistani","67","16"
"Boys","Asian other","75","24"
"Boys","Black","72","20"
"Boys","Black African","74","22"
"Boys","Black Caribbean","68","15"
"Boys","Black other","70","19"
"Boys","Chinese","81","34"
"Boys","Mixed","73","24"
"Boys","Mixed White/Asian","78","31"
"Boys","Mixed White/Black African","74","24"
"Boys","Mixed White/Black Caribbean","67","16"
"Boys","Mixed other","75","26"
"Boys","White","71","23"
"Boys","White British","72","23"
"Boys","White Irish","72","30"
"Boys","Gypsy/Roma","25","2"
"Boys","Irish Traveller","24","2"
"Boys","White other","67","19"
"Boys","Other","65","16"
"Boys","Unknown","55","17"
"Girls","All","80","29"
"Girls","Asian","82","28"
"Girls","Bangladeshi","81","27"
"Girls","Indian","88","37"
"Girls","Pakistani","78","22"
"Girls","Asian other","82","29"
"Girls","Black","81","28"
"Girls","Black African","82","29"
"Girls","Black Caribbean","78","24"
"Girls","Black other","79","25"
"Girls","Chinese","87","42"
"Girls","Mixed","81","31"
"Girls","Mixed White/Asian","85","37"
"Girls","Mixed White/Black African","82","31"
"Girls","Mixed White/Black Caribbean","78","25"
"Girls","Mixed other","82","32"
"Girls","White","80","29"
"Girls","White British","80","30"
"Girls","White Irish","81","35"
"Girls","Gypsy/Roma","33","4"
"Girls","Irish Traveller","37","5"
"Girls","White other","75","24"
"Girls","Other","73","21"
"Girls","Unknown","62","21"
