"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Geography","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls","boys","girls"
"Barking and Dagenham","70","80","71","86","76","88","67","83","72","83","65","73","72","59"
"Barnet","76","82","79","84","75","82","84","97","79","86","76","82","73","75"
"Barnsley","66","78","70","80","50","80","0","100","71","72","66","78","60","100"
"Bath and North East Somerset","75","81","100","86","33","44","75","50","71","75","75","82","57","60"
"Bedford","68","77","68","74","85","88","75","100","65","77","68","78","58","38"
"Bexley","78","83","84","89","82","91","91","94","80","83","76","81","76","94"
"Birmingham","68","77","70","81","70","76","81","81","69","79","68","75","67","72"
"Blackburn with Darwen","70","80","69","83","71","95","100","88","73","88","71","77","88","33"
"Blackpool","70","76","77","79","67","33","50","100","83","81","70","76","25","71"
"Bolton","68","77","71","81","53","71","63","75","83","83","69","77","57","73"
"Bournemouth","73","82","79","83","91","100","80","80","73","82","74","82","43","77"
"Bracknell Forest","72","83","76","94","74","84","50","86","83","84","72","82","50","100"
"Bradford","67","77","68","81","56","71","100","100","72","74","66","74","48","73"
"Brent","70","80","74","86","72","81","100","50","73","86","70","78","62","76"
"Brighton and Hove","70","79","70","66","64","83","80","79","74","82","70","80","52","40"
"Bristol, City of","70","77","70","71","62","67","85","87","69","77","71","79","60","65"
"Bromley","79","83","86","89","72","79","80","92","81","83","79","82","64","83"
"Buckinghamshire","76","83","74","79","72","84","94","92","76","84","76","84","84","67"
"Bury","70","76","66","70","70","77","67","100","67","73","72","77","59","67"
"Calderdale","66","77","65","72","70","82","100","100","72","67","66","79","67","33"
"Cambridgeshire","70","78","77","83","56","76","96","88","77","81","69","78","78","70"
"Camden","73","81","69","81","71","78","82","78","74","85","77","81","65","77"
"Central Bedfordshire","76","83","76","86","73","88","78","71","77","81","76","84","64","75"
"Cheshire East","73","80","78","79","60","91","60","80","81","79","73","81","64","80"
"Cheshire West and Chester","70","79","69","82","73","83","86","100","75","80","70","79","50","64"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","67","77","67","89","N/A","100","75","60","76","76","67","77","70","60"
"County Durham","73","81","76","83","47","100","64","80","76","74","73","81","50","64"
"Coventry","67","77","73","83","69","78","64","90","72","74","65","75","50","69"
"Croydon","74","81","78","84","75","83","82","100","74","80","73","81","62","76"
"Cumbria","70","80","92","71","100","67","71","75","74","84","70","80","80","75"
"Darlington","72","80","78","89","100","83","50","100","62","100","73","80","50","50"
"Derby","67","76","66","80","81","84","79","100","77","80","67","75","65","70"
"Derbyshire","71","80","68","93","67","73","93","79","70","82","71","80","58","54"
"Devon","71","79","69","100","33","88","80","88","77","73","71","79","61","57"
"Doncaster","67","77","74","75","59","95","67","89","65","85","68","77","38","82"
"Dorset","72","80","68","89","50","50","100","100","75","84","72","80","71","78"
"Dudley","70","79","65","82","65","80","75","50","65","83","71","79","74","55"
"Ealing","72","79","76","82","68","74","88","82","71","84","76","82","63","72"
"East Riding of Yorkshire","72","80","88","85","0","67","50","100","82","87","72","80","43","62"
"East Sussex","72","82","82","82","68","76","67","82","77","84","72","82","64","67"
