"Ethnicity","Expected Standard","Higher Standard"
"All","75","26"
"Asian","78","25"
"Bangladeshi","77","23"
"Indian","84","33"
"Pakistani","73","19"
"Asian other","79","27"
"Black","77","24"
"Black African","78","25"
"Black Caribbean","73","20"
"Black other","75","22"
"Chinese","84","38"
"Mixed","77","28"
"Mixed White/Asian","81","34"
"Mixed White/Black African","78","27"
"Mixed White/Black Caribbean","72","20"
"Mixed other","78","29"
"White","75","26"
"White British","76","27"
"White Irish","77","32"
"Gypsy/Roma","29","3"
"Irish Traveller","31","3"
"White other","71","21"
"Other","69","18"
"Unknown","58","19"
