"","All","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%","%"
"Barking and Dagenham","73","75","79","83","74","69","77"
"Barnet","79","83","78","86","82","80","71"
"Barnsley","72","82","71","N/A","71","73","89"
"Bath and North East Somerset","78","76","80","78","84","78","35"
"Bedford","68","65","70","100","64","70","80"
"Bexley","79","85","86","87","82","76","78"
"Birmingham","72","74","73","83","73","71","69"
"Blackburn with Darwen","74","76","71","67","77","73","67"
"Blackpool","71","81","55","80","73","72","40"
"Bolton","72","75","65","67","73","73","61"
"Bournemouth, Christchurch and Poole","76","78","74","92","79","77","68"
"Bracknell Forest","79","83","96","100","87","78","78"
"Bradford","73","75","73","89","74","72","60"
"Brent","74","77","75","93","77","73","66"
"Brighton and Hove","76","67","82","79","82","77","53"
"Bristol, City of","74","67","69","83","71","76","59"
"Bromley","80","89","76","91","80","80","77"
"Buckinghamshire","78","74","77","88","78","79","81"
"Bury","72","68","69","73","75","73","68"
"Calderdale","72","67","57","50","73","74","69"
"Cambridgeshire","74","79","77","82","76","74","71"
"Camden","77","74","75","83","77","78","73"
"Central Bedfordshire","78","86","74","90","82","78","79"
"Cheshire East","77","74","63","78","76","77","67"
"Cheshire West and Chester","73","79","62","86","78","73","48"
"City of London","!","!","!","!","!","!","!"
"Cornwall","72","67","43","55","79","72","52"
"County Durham","76","75","92","80","85","76","63"
"Coventry","72","77","72","88","72","70","64"
"Croydon","77","82","78","86","79","75","73"
"Cumbria","75","69","67","57","82","75","65"
"Darlington","75","68","91","100","82","75","55"
"Derby","72","77","76","79","71","71","67"
"Derbyshire","74","70","83","71","81","74","66"
"Devon","74","58","85","81","80","74","58"
"Doncaster","73","70","75","80","70","74","55"
"Dorset","76","83","75","100","80","76","59"
"Dudley","73","75","70","86","71","74","61"
"Ealing","75","76","73","78","81","77","69"
"East Riding of Yorkshire","75","86","100","100","81","75","63"
"East Sussex","77","80","69","68","79","77","56"
"Enfield","70","79","71","91","80","66","67"
"Essex","77","82","78","86","78","76","76"
"Gateshead","75","74","78","75","87","76","58"
"Gloucestershire","75","77","76","83","72","75","54"
"Greenwich","79","88","83","91","83","72","81"
"Hackney","79","82","78","88","81","80","76"
"Halton","72","80","100","N/A","84","71","67"
"Hammersmith and Fulham","79","82","73","57","83","82","74"
"Hampshire","80","83","85","81","83","80","81"
"Haringey","76","85","78","89","80","76","63"
"Harrow","79","86","73","90","79","72","67"
"Hartlepool","74","66","67","100","80","74","44"
"Havering","77","82","79","92","78","77","69"
"Herefordshire, County of","79","75","85","100","90","79","50"
"Hertfordshire","77","80","74","84","80","77","68"
"Hillingdon","75","81","79","82","75","70","71"
"Hounslow","78","83","75","95","81","75","75"
"Isle of Wight","71","71","50","100","77","71","50"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","76","76","75","92","77","78","70"
"Kensington and Chelsea","80","83","81","88","81","82","75"
"Kent","76","81","83","89","82","75","70"
"Kingston upon Hull, City of","72","76","66","67","72","73","64"
"Kingston upon Thames","80","77","78","100","83","80","74"
"Kirklees","73","74","81","88","71","73","66"
"Knowsley","72","92","76","43","75","71","71"
"Lambeth","78","76","75","96","81","82","72"
"Lancashire","74","71","79","79","74","74","52"
"Leeds","70","67","69","79","72","71","65"
"Leicester","70","75","70","80","72","65","70"
"Leicestershire","76","83","75","79","78","75","63"
"Lewisham","76","77","74","87","78","78","80"
"Lincolnshire","71","85","71","72","76","71","69"
"Liverpool","70","72","72","78","69","70","56"
"Luton","70","75","70","82","72","65","75"
"Manchester","71","71","74","78","74","71","64"
"Medway","76","85","87","83","77","74","76"
"Merton","79","81","74","96","76","80","82"
"Middlesbrough","70","65","70","100","73","71","54"
"Milton Keynes","77","81","80","88","81","75","52"
"Newcastle upon Tyne","75","75","74","75","77","76","70"
"Newham","79","81","80","92","83","72","79"
"Norfolk","73","82","72","84","79","73","69"
"North East Lincolnshire","74","75","50","50","68","74","56"
"North Lincolnshire","75","72","79","100","78","75","33"
"North Somerset","75","79","63","80","82","76","83"
"North Tyneside","78","71","83","100","83","78","56"
"North Yorkshire","74","70","52","73","80","74","55"
"Northamptonshire","74","79","74","83","74","74","68"
"Northumberland","78","82","60","100","72","79","70"
"Nottingham","70","71","80","80","74","67","64"
"Nottinghamshire","73","78","74","86","75","73","66"
"Oldham","71","70","71","88","73","73","53"
"Oxfordshire","77","78","79","85","76","77","66"
"Peterborough","67","66","69","92","71","67","53"
"Plymouth","71","71","73","54","74","71","61"
"Portsmouth","74","77","68","76","81","74","56"
"Reading","72","74","73","92","71","73","65"
"Redbridge","80","82","77","88","85","75","67"
"Redcar and Cleveland","75","88","100","100","72","76","22"
"Richmond upon Thames","83","83","79","96","83","84","81"
"Rochdale","70","67","71","81","67","71","61"
"Rotherham","72","71","78","94","81","72","58"
"Rutland","78","67","67","100","63","79","75"
"Salford","74","78","76","85","81","74","67"
"Sandwell","71","75","76","87","76","69","59"
"Sefton","75","67","62","60","77","75","38"
"Sheffield","72","70","78","75","70","72","65"
"Shropshire","74","58","100","63","71","74","63"
"Slough","75","80","76","100","74","70","74"
"Solihull","78","82","74","93","82","77","78"
"Somerset","76","77","78","100","83","76","54"
"South Gloucestershire","80","89","77","95","75","80","65"
"South Tyneside","76","74","79","100","75","76","90"
"Southampton","74","74","82","100","74","73","70"
"Southend-on-Sea","77","74","84","100","77","77","57"
"Southwark","79","77","81","85","76","81","68"
"St. Helens","74","65","73","62","77","74","20"
"Staffordshire","77","80","75","100","76","77","61"
"Stockport","76","74","68","76","76","76","66"
"Stockton-on-Tees","77","83","81","89","77","77","57"
"Stoke-on-Trent","72","74","70","76","71","73","55"
"Suffolk","73","79","75","86","71","73","73"
"Sunderland","75","70","75","84","76","75","60"
"Surrey","79","81","83","95","81","78","74"
"Sutton","80","87","78","95","85","78","70"
"Swindon","75","77","82","85","76","75","80"
"Tameside","73","70","55","69","73","74","66"
"Telford and Wrekin","75","67","71","89","77","76","33"
"Thurrock","75","83","84","77","80","71","84"
"Torbay","76","91","50","67","89","76","80"
"Tower Hamlets","75","76","75","86","78","75","61"
"Trafford","79","78","72","89","76","80","69"
"Wakefield","73","69","74","89","72","73","69"
"Walsall","73","78","69","73","77","73","58"
"Waltham Forest","79","80","78","87","80","80","79"
"Wandsworth","80","76","73","88","79","87","67"
"Warrington","78","81","80","71","80","77","75"
"Warwickshire","77","81","83","93","78","77","68"
"West Berkshire","75","77","68","71","81","75","77"
"West Sussex","75","77","61","81","75","75","74"
"Westminster","76","81","78","88","75","78","70"
"Wigan","76","78","76","91","78","76","58"
"Wiltshire","75","69","72","88","74","75","79"
"Windsor and Maidenhead","79","77","72","80","83","80","73"
"Wirral","72","78","60","95","77","71","70"
"Wokingham","80","85","74","90","83","78","87"
"Wolverhampton","74","81","74","72","79","72","63"
"Worcestershire","75","74","61","76","79","75","70"
"York","76","80","73","83","80","76","47"
