"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","6-7","73","%","3786","2774"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","6-7","68","%","1988","1352"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","6-7","79","%","1798","1422"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","6-7","79","%","4485","3549"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","6-7","76","%","2269","1732"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","6-7","82","%","2216","1817"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All","6-7","72","%","3017","2186"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Boys","6-7","65","%","1499","980"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Girls","6-7","79","%","1518","1206"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","All","6-7","78","%","1892","1469"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys","6-7","75","%","962","719"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Girls","6-7","81","%","930","750"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bedford","Local authority","E06000055","All","6-7","68","%","2327","1592"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bedford","Local authority","E06000055","Boys","6-7","64","%","1198","770"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bedford","Local authority","E06000055","Girls","6-7","73","%","1129","822"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bexley","Local authority","E09000004","All","6-7","79","%","3272","2575"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bexley","Local authority","E09000004","Boys","6-7","75","%","1688","1274"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Bexley","Local authority","E09000004","Girls","6-7","82","%","1584","1301"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","Birmingham","Local authority","E08000025","All","6-7","72","%","16630","11991"
