"","Boys","","Girls",""
"Ethnicity","Expected standard","Higher standard","Expected standard","Higher standard"
"All","71","22","79","29"
"Asian","72","21","81","28"
"Bangladeshi","71","20","80","27"
"Indian","79","28","87","37"
"Pakistani","67","16","78","22"
"Asian other","73","22","81","30"
"Black","70","18","82","26"
"Black African","73","19","83","28"
"Black Caribbean","65","14","78","21"
"Black other","67","17","80","25"
"Chinese","81","33","88","41"
"Mixed","73","24","82","31"
"Mixed White/Asian","79","30","85","37"
"Mixed White/Black African","73","23","81","30"
"Mixed White/Black Caribbean","66","17","77","24"
"Mixed other","74","26","82","31"
"White","71","22","79","29"
"White British","72","23","80","30"
"White Irish","76","29","84","38"
"Gypsy/Roma","28","3","32","5"
"Irish Traveller","27","5","42","9"
"White other","67","18","75","24"
"Other","64","16","72","20"
"Unknown","53","16","60","20"
