"","All","Asian","Black","Chinese","Mixed","White","Other"
"geography","%","%","%","%","%","%","%"
"Barking and Dagenham","82","85","86","89","86","78","81"
"Barnet","84","84","79","96","87","85","81"
"Barnsley","80","87","75","100","78","80","78"
"Bath and North East Somerset","88","94","60","83","87","88","75"
"Bedford","78","71","82","90","79","79","61"
"Bexley","86","91","88","96","87","85","82"
"Birmingham","77","78","75","85","79","78","75"
"Blackburn with Darwen","81","79","85","90","91","83","69"
"Blackpool","80","83","83","100","89","79","82"
"Bolton","80","81","67","92","86","82","69"
"Bournemouth","85","91","95","90","90","85","80"
"Bracknell Forest","87","90","86","82","88","88","85"
"Bradford","78","79","68","100","79","78","67"
"Brent","81","84","80","71","86","82","76"
"Brighton and Hove","87","83","76","88","87","88","78"
"Bristol, City of","80","77","70","89","81","83","75"
"Bromley","86","91","81","92","87","87","82"
"Buckinghamshire","86","80","83","96","88","88","74"
"Bury","81","77","75","75","81","83","69"
"Calderdale","79","73","81","100","75","81","50"
"Cambridgeshire","83","82","74","92","83","83","82"
"Camden","83","81","78","85","86","86","81"
"Central Bedfordshire","86","86","82","81","83","86","74"
"Cheshire East","84","78","94","100","84","84","67"
"Cheshire West and Chester","82","78","71","88","85","83","74"
"City of London","!","!","!","!","!","!","!"
"Cornwall","82","83","0","77","85","82","80"
"County Durham","83","84","56","85","76","84","68"
"Coventry","80","84","78","75","81","80","64"
"Croydon","85","87","83","96","86","85","78"
"Cumbria","85","83","75","91","87","85","86"
"Darlington","83","85","80","100","84","83","50"
"Derby","80","79","84","89","85","80","73"
"Derbyshire","85","85","74","86","86","85","68"
"Devon","86","81","79","89","87","86","68"
"Doncaster","79","71","74","87","81","80","58"
"Dorset","85","78","25","100","92","85","63"
"Dudley","82","77","78","80","82","83","69"
"Ealing","82","83","78","89","85","85","77"
"East Riding of Yorkshire","87","90","80","100","89","87","80"
"East Sussex","84","85","78","82","85","85","65"
"Enfield","77","87","79","92","84","75","76"
"Essex","84","87","84","85","85","84","77"
"Gateshead","83","91","81","92","85","84","59"
"Gloucestershire","84","83","76","100","87","84","66"
"Greenwich","85","86","87","95","86","83","81"
"Hackney","85","88","83","93","86","86","84"
"Halton","78","50","100","N/A","81","78","67"
"Hammersmith and Fulham","86","84","83","88","88","88","79"
"Hampshire","88","87","83","94","88","88","85"
"Haringey","84","87","84","89","89","84","79"
"Harrow","86","89","82","93","88","83","72"
"Hartlepool","81","82","100","80","68","82","63"
"Havering","87","87","85","100","86","87","77"
"Herefordshire, County of","86","75","100","100","86","87","62"
"Hertfordshire","84","85","81","94","85","85","83"
"Hillingdon","83","87","82","91","85","83","77"
"Hounslow","87","90","81","100","90","85","85"
"Isle of Wight","78","100","100","100","83","78","0"
"Isles of Scilly","!","!","!","!","!","!","!"
"Islington","81","83","74","100","80","85","81"
"Kensington and Chelsea","86","88","83","60","88","88","82"
"Kent","86","88","90","86","88","86","81"
"Kingston upon Hull, City of","77","86","73","100","82","77","73"
"Kingston upon Thames","86","83","69","94","88","88","82"
"Kirklees","81","78","73","80","78","83","70"
"Knowsley","77","87","76","100","80","77","70"
"Lambeth","86","85","84","91","88","89","84"
