"Ethnicity","geography","%"
"All","Barking and Dagenham","82"
"All","Barnet","84"
"All","Barnsley","80"
"All","Bath and North East Somerset","88"
"All","Bedford","78"
"All","Bexley","86"
"All","Birmingham","77"
"All","Blackburn with Darwen","81"
"All","Blackpool","80"
"All","Bolton","80"
"All","Bournemouth","85"
"All","Bracknell Forest","87"
"All","Bradford","78"
"All","Brent","81"
"All","Brighton and Hove","87"
"All","Bristol, City of","80"
"All","Bromley","86"
"All","Buckinghamshire","86"
"All","Bury","81"
"All","Calderdale","79"
"All","Cambridgeshire","83"
"All","Camden","83"
"All","Central Bedfordshire","86"
"All","Cheshire East","84"
"All","Cheshire West and Chester","82"
"All","City of London","!"
"All","Cornwall","82"
"All","County Durham","83"
"All","Coventry","80"
"All","Croydon","85"
"All","Cumbria","85"
"All","Darlington","83"
"All","Derby","80"
"All","Derbyshire","85"
"All","Devon","86"
"All","Doncaster","79"
"All","Dorset","85"
"All","Dudley","82"
"All","Ealing","82"
"All","East Riding of Yorkshire","87"
"All","East Sussex","84"
"All","Enfield","77"
"All","Essex","84"
"All","Gateshead","83"
"All","Gloucestershire","84"
"All","Greenwich","85"
"All","Hackney","85"
"All","Halton","78"
"All","Hammersmith and Fulham","86"
"All","Hampshire","88"
"All","Haringey","84"
"All","Harrow","86"
"All","Hartlepool","81"
"All","Havering","87"
"All","Herefordshire, County of","86"
"All","Hertfordshire","84"
"All","Hillingdon","83"
"All","Hounslow","87"
"All","Isle of Wight","78"
"All","Isles of Scilly","!"
"All","Islington","81"
"All","Kensington and Chelsea","86"
"All","Kent","86"
"All","Kingston upon Hull, City of","77"
"All","Kingston upon Thames","86"
"All","Kirklees","81"
"All","Knowsley","77"
"All","Lambeth","86"
"All","Lancashire","82"
"All","Leeds","78"
"All","Leicester","78"
"All","Leicestershire","84"
"All","Lewisham","83"
"All","Lincolnshire","81"
"All","Liverpool","76"
"All","Luton","77"
"All","Manchester","78"
"All","Medway","83"
"All","Merton","86"
"All","Middlesbrough","75"
"All","Milton Keynes","84"
"All","Newcastle upon Tyne","82"
"All","Newham","83"
"All","Norfolk","83"
"All","North East Lincolnshire","80"
"All","North Lincolnshire","82"
"All","North Somerset","88"
"All","North Tyneside","85"
"All","North Yorkshire","85"
"All","Northamptonshire","82"
"All","Northumberland","86"
"All","Nottingham","76"
"All","Nottinghamshire","83"
"All","Oldham","76"
"All","Oxfordshire","86"
"All","Peterborough","78"
"All","Plymouth","79"
"All","Poole","84"
"All","Portsmouth","83"
"All","Reading","81"
"All","Redbridge","83"
"All","Redcar and Cleveland","84"
"All","Richmond upon Thames","91"
"All","Rochdale","79"
"All","Rotherham","81"
"All","Rutland","90"
"All","Salford","80"
"All","Sandwell","77"
"All","Sefton","83"
"All","Sheffield","81"
"All","Shropshire","85"
"All","Slough","82"
"All","Solihull","84"
"All","Somerset","86"
"All","South Gloucestershire","86"
"All","South Tyneside","82"
"All","Southampton","82"
"All","Southend-on-Sea","84"
"All","Southwark","82"
"All","St. Helens","79"
"All","Staffordshire","84"
"All","Stockport","85"
"All","Stockton-on-Tees","85"
"All","Stoke-on-Trent","79"
"All","Suffolk","81"
"All","Sunderland","83"
"All","Surrey","86"
"All","Sutton","86"
"All","Swindon","84"
"All","Tameside","81"
"All","Telford and Wrekin","82"
"All","Thurrock","82"
"All","Torbay","82"
"All","Tower Hamlets","82"
"All","Trafford","87"
"All","Wakefield","79"
"All","Walsall","78"
"All","Waltham Forest","85"
"All","Wandsworth","87"
"All","Warrington","85"
"All","Warwickshire","85"
"All","West Berkshire","86"
"All","West Sussex","82"
"All","Westminster","80"
"All","Wigan","82"
"All","Wiltshire","84"
"All","Windsor and Maidenhead","88"
"All","Wirral","81"
"All","Wokingham","89"
