"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Geography","boys","Girls","boys","Girls","boys","Girls","boys","Girls","boys","Girls","boys","Girls","boys","Girls"
"Barking and Dagenham","78","87","79","92","82","91","67","100","82","91","74","82","89","70"
"Barnet","83","85","84","85","79","79","94","97","84","89","84","87","80","81"
"Barnsley","76","83","90","80","64","90","100","100","80","76","76","83","60","100"
"Bath and North East Somerset","87","90","100","86","50","67","75","100","87","86","87","90","71","80"
"Bedford","76","79","71","71","82","82","75","100","79","79","76","82","75","50"
"Bexley","84","88","90","92","85","91","100","89","86","88","84","86","71","94"
"Birmingham","74","80","74","82","74","77","83","88","76","82","76","79","72","79"
"Blackburn with Darwen","78","83","74","84","71","95","100","88","85","95","82","84","94","33"
"Blackpool","78","82","82","84","100","67","100","100","87","90","78","81","75","86"
"Bolton","77","83","77","84","55","77","88","100","86","86","80","84","64","76"
"Bournemouth","83","88","88","94","91","100","100","80","88","92","82","88","71","85"
"Bracknell Forest","83","92","85","97","83","89","75","86","85","92","84","91","67","100"
"Bradford","75","81","74","83","58","75","100","100","80","78","76","80","62","73"
"Brent","77","85","80","89","76","83","100","50","83","89","79","85","70","83"
"Brighton and Hove","85","89","85","80","64","86","80","89","86","88","86","90","79","77"
"Bristol, City of","78","83","78","75","68","73","85","93","78","84","80","85","74","75"
"Bromley","85","88","88","94","79","82","91","92","85","89","86","88","72","92"
"Buckinghamshire","84","89","80","80","79","88","94","100","84","92","85","90","79","67"
"Bury","80","83","76","78","74","77","56","100","78","83","82","84","65","75"
"Calderdale","75","83","69","76","80","82","100","100","75","75","76","85","67","33"
"Cambridgeshire","81","85","80","84","67","85","93","92","79","87","81","85","83","80"
"Camden","81","85","74","85","73","82","82","89","86","86","86","87","81","81"
"Central Bedfordshire","84","88","85","88","71","94","89","71","82","84","84","89","73","75"
"Cheshire East","82","85","76","79","80","100","100","100","86","83","83","85","57","80"
"Cheshire West and Chester","80","85","71","85","73","67","86","100","81","89","80","85","50","91"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","80","85","67","100","N/A","0","88","60","85","84","80","85","90","70"
"County Durham","81","86","76","91","47","100","73","93","78","74","81","86","64","73"
"Coventry","77","83","81","88","74","82","64","90","79","83","78","83","55","71"
"Croydon","82","87","86","88","80","86","91","100","83","89","83","87","80","76"
"Cumbria","83","87","92","76","100","67","86","100","84","90","83","87","90","75"
"Darlington","80","85","81","89","100","67","100","100","69","94","81","86","50","50"
"Derby","76","83","75","83","82","85","86","100","83","87","77","83","71","75"
"Derbyshire","83","87","77","93","67","82","93","79","84","88","83","87","75","62"
"Devon","84","87","72","96","50","100","80","100","87","87","84","88","77","60"
"Doncaster","75","83","67","75","63","89","83","89","76","87","76","83","31","82"
"Dorset","84","86","73","83","50","0","100","100","92","92","84","86","57","67"
"Dudley","78","85","69","85","77","79","88","50","76","87","80","86","79","58"
"Ealing","79","85","81","86","74","82","88","91","82","87","83","87","75","80"
"East Riding of Yorkshire","84","89","75","100","100","67","100","100","86","91","85","89","57","92"
"East Sussex","81","88","84","85","74","86","67","91","80","90","82","88","55","78"
"Enfield","75","80","86","87","74","84","100","88","81","86","73","77","74","79"
"Essex","82","86","86","88","77","92","78","96","84","86","82","85","65","88"
"Gateshead","80","87","86","96","50","87","86","100","82","89","81","86","45","76"
"Gloucestershire","82","86","80","86","74","78","100","100","85","88","82","86","77","56"
"Greenwich","81","88","82","91","82","92","94","96","81","92","80","85","83","80"
"Hackney","82","88","85","91","78","88","100","88","84","89","83","89","84","84"
"Halton","75","80","50","N/A","N/A","100","N/A","N/A","78","87","75","80","50","100"
"Hammersmith and Fulham","85","87","81","86","84","81","100","83","89","86","86","91","76","81"
"Hampshire","86","90","84","91","77","90","92","96","86","90","86","90","85","86"
"Haringey","83","86","85","88","82","86","78","100","89","90","83","86","82","76"
"Harrow","84","88","87","92","77","87","80","100","86","90","82","85","69","74"
"Hartlepool","77","86","70","89","100","100","50","100","50","85","78","86","75","50"
"Havering","84","90","84","92","78","91","100","100","80","93","86","89","78","77"
"Herefordshire, County of","82","90","78","73","100","100","100","N/A","83","88","82","91","57","67"
"Hertfordshire","82","87","83","87","79","84","93","96","82","87","83","87","88","78"
"Hillingdon","80","87","84","90","81","83","67","100","84","86","78","87","76","78"
"Hounslow","84","89","88","91","75","88","100","100","89","92","83","88","83","88"
"Isle of Wight","75","81","100","100","100","N/A","100","N/A","87","79","75","80","0","N/A"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","79","84","79","86","71","78","100","100","78","82","82","88","81","81"
"Kensington and Chelsea","82","89","90","85","77","89","60","N/A","86","90","87","90","74","90"
"Kent","84","89","84","92","87","92","81","92","85","91","84","89","79","84"
"Kingston upon Hull, City of","74","80","95","78","79","68","100","100","78","85","74","81","78","69"
"Kingston upon Thames","83","89","78","86","60","77","86","100","86","90","85","90","77","87"
