"","Boys","","Girls",""
"Ethnicity","FSM","Non-FSM","FSM","Non-FSM"
"All","65","83","73","87"
"Asian","69","80","78","86"
"Bangladeshi","73","78","82","85"
"Indian","75","86","82","91"
"Pakistani","66","75","76","82"
"Asian other","69","81","78","87"
"Black","72","78","79","86"
"Black African","74","79","80","87"
"Black Caribbean","69","76","74","85"
"Black other","70","76","78","83"
"Chinese","75","87","87","91"
"Mixed","70","84","77","89"
"Mixed White/Asian","73","87","78","91"
"Mixed White/Black African","70","84","81","88"
"Mixed White/Black Caribbean","67","81","75","87"
"Mixed other","71","84","76","89"
"White","63","84","71","88"
"White British","63","85","71","89"
"White Irish","62","86","64","89"
"Gypsy/Roma","38","37","48","42"
"Irish Traveller","30","47","38","53"
"White other","65","77","72","82"
"Other","64","75","71","80"
"Unknown","59","62","72","67"
