"Ethnicity","Local authority","%"
"All","Barking and Dagenham","81"
"All","Barnet","85"
"All","Barnsley","79"
"All","Bath and North East Somerset","86"
"All","Bedford","75"
"All","Bexley","84"
"All","Birmingham","77"
"All","Blackburn with Darwen","81"
"All","Blackpool","79"
"All","Bolton","78"
"All","Bournemouth, Christchurch and Poole","84"
"All","Bracknell Forest","87"
"All","Bradford","78"
"All","Brent","79"
"All","Brighton and Hove","87"
"All","Bristol, City of","81"
"All","Bromley","86"
"All","Buckinghamshire","86"
"All","Bury","81"
"All","Calderdale","79"
"All","Cambridgeshire","83"
"All","Camden","83"
"All","Central Bedfordshire","85"
"All","Cheshire East","84"
"All","Cheshire West and Chester","82"
"All","City of London","!"
"All","Cornwall","81"
"All","County Durham","83"
"All","Coventry","81"
"All","Croydon","84"
"All","Cumbria","85"
"All","Darlington","81"
"All","Derby","79"
"All","Derbyshire","83"
"All","Devon","85"
"All","Doncaster","79"
"All","Dorset","84"
"All","Dudley","79"
"All","Ealing","81"
"All","East Riding of Yorkshire","86"
"All","East Sussex","85"
"All","Enfield","78"
"All","Essex","83"
"All","Gateshead","82"
"All","Gloucestershire","83"
"All","Greenwich","84"
"All","Hackney","85"
"All","Halton","79"
"All","Hammersmith and Fulham","85"
"All","Hampshire","88"
"All","Haringey","83"
"All","Harrow","85"
"All","Hartlepool","80"
"All","Havering","85"
"All","Herefordshire, County of","86"
"All","Hertfordshire","84"
"All","Hillingdon","82"
"All","Hounslow","85"
"All","Isle of Wight","79"
"All","Isles of Scilly","!"
"All","Islington","81"
"All","Kensington and Chelsea","86"
"All","Kent","85"
"All","Kingston upon Hull, City of","79"
"All","Kingston upon Thames","87"
"All","Kirklees","81"
"All","Knowsley","78"
"All","Lambeth","84"
"All","Lancashire","81"
"All","Leeds","77"
"All","Leicester","78"
"All","Leicestershire","84"
"All","Lewisham","83"
"All","Lincolnshire","80"
"All","Liverpool","76"
"All","Luton","76"
"All","Manchester","78"
"All","Medway","81"
"All","Merton","87"
"All","Middlesbrough","76"
"All","Milton Keynes","83"
"All","Newcastle upon Tyne","81"
"All","Newham","82"
"All","Norfolk","83"
"All","North East Lincolnshire","82"
"All","North Lincolnshire","82"
"All","North Somerset","87"
"All","North Tyneside","85"
"All","North Yorkshire","84"
"All","Northamptonshire","82"
"All","Northumberland","85"
"All","Nottingham","76"
"All","Nottinghamshire","83"
"All","Oldham","76"
"All","Oxfordshire","86"
"All","Peterborough","76"
"All","Plymouth","80"
"All","Portsmouth","84"
"All","Reading","78"
"All","Redbridge","83"
"All","Redcar and Cleveland","82"
"All","Richmond upon Thames","91"
"All","Rochdale","77"
"All","Rotherham","80"
"All","Rutland","85"
"All","Salford","80"
"All","Sandwell","77"
"All","Sefton","84"
"All","Sheffield","79"
"All","Shropshire","84"
"All","Slough","83"
"All","Solihull","85"
"All","Somerset","85"
"All","South Gloucestershire","86"
"All","South Tyneside","83"
"All","Southampton","81"
"All","Southend-on-Sea","86"
"All","Southwark","83"
"All","St. Helens","79"
"All","Staffordshire","84"
"All","Stockport","86"
"All","Stockton-on-Tees","84"
"All","Stoke-on-Trent","77"
"All","Suffolk","80"
"All","Sunderland","81"
"All","Surrey","86"
"All","Sutton","86"
"All","Swindon","83"
"All","Tameside","79"
"All","Telford and Wrekin","83"
"All","Thurrock","81"
"All","Torbay","81"
"All","Tower Hamlets","81"
"All","Trafford","87"
"All","Wakefield","79"
"All","Walsall","78"
"All","Waltham Forest","84"
