"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","69","85"
"Asian","74","83"
"Bangladeshi","76","81"
"Indian","79","88"
"Pakistani","73","78"
"Asian other","72","84"
"Black","76","82"
"Black African","78","82"
"Black Caribbean","71","80"
"Black other","74","81"
"Chinese","86","89"
"Mixed","73","86"
"Mixed White/Asian","75","89"
"Mixed White/Black African","77","85"
"Mixed White/Black Caribbean","72","84"
"Mixed other","73","86"
"White","67","86"
"White British","68","87"
"White Irish","63","91"
"Gypsy/Roma","41","44"
"Irish Traveller","41","51"
"White other","68","80"
"Other","68","77"
"Unknown","65","63"
