"","Boys","Girls"
"Ethnicity","%","%"
"All","80","85"
"Asian","78","85"
"Bangladeshi","76","84"
"Indian","84","90"
"Pakistani","74","81"
"Asian other","79","86"
"Black","76","85"
"Black African","77","86"
"Black Caribbean","72","82"
"Black other","75","83"
"Chinese","87","91"
"Mixed","81","86"
"Mixed White/Asian","85","89"
"Mixed White/Black African","81","86"
"Mixed White/Black Caribbean","77","83"
"Mixed other","81","87"
"White","81","85"
"White British","81","86"
"White Irish","84","89"
"Gypsy/Roma","42","44"
"Irish Traveller","39","50"
"White other","76","82"
"Other","72","78"
"Unknown","60","65"
