"Gender","Ethnicity","%"
"Boys","All","80"
"Boys","Asian","78"
"Boys","Bangladeshi","76"
"Boys","Indian","84"
"Boys","Pakistani","74"
"Boys","Asian other","79"
"Boys","Black","76"
"Boys","Black African","77"
"Boys","Black Caribbean","72"
"Boys","Black other","75"
"Boys","Chinese","87"
"Boys","Mixed","81"
"Boys","Mixed White/Asian","85"
"Boys","Mixed White/Black African","81"
"Boys","Mixed White/Black Caribbean","77"
"Boys","Mixed other","81"
"Boys","White","81"
"Boys","White British","81"
"Boys","White Irish","84"
"Boys","Gypsy/Roma","42"
"Boys","Irish Traveller","39"
"Boys","White other","76"
"Boys","Other","72"
"Boys","Unknown","60"
"Girls","All","85"
"Girls","Asian","85"
"Girls","Bangladeshi","84"
"Girls","Indian","90"
"Girls","Pakistani","81"
"Girls","Asian other","86"
"Girls","Black","85"
"Girls","Black African","86"
"Girls","Black Caribbean","82"
"Girls","Black other","83"
"Girls","Chinese","91"
"Girls","Mixed","86"
"Girls","Mixed White/Asian","89"
"Girls","Mixed White/Black African","86"
"Girls","Mixed White/Black Caribbean","83"
"Girls","Mixed other","87"
"Girls","White","85"
"Girls","White British","86"
"Girls","White Irish","89"
"Girls","Gypsy/Roma","44"
"Girls","Irish Traveller","50"
"Girls","White other","82"
"Girls","Other","78"
"Girls","Unknown","65"
