"Ethnicity","Expected standard"
"All","82"
"Asian","81"
"Bangladeshi","80"
"Indian","87"
"Pakistani","78"
"Asian other","82"
"Black","80"
"Black African","81"
"Black Caribbean","77"
"Black other","79"
"Chinese","89"
"Mixed","83"
"Mixed White/Asian","87"
"Mixed White/Black African","83"
"Mixed White/Black Caribbean","80"
"Mixed other","83"
"White","83"
"White British","84"
"White Irish","87"
"Gypsy/Roma","43"
"Irish Traveller","45"
"White other","79"
"Other","75"
"Unknown","63"
