"Ethnicity","Geography","%"
"All","Barking and Dagenham","70"
"All","Barnet","73"
"All","Barnsley","67"
"All","Bath and North East Somerset","71"
"All","Bedford","66"
"All","Bexley","76"
"All","Birmingham","67"
"All","Blackburn with Darwen","68"
"All","Blackpool","67"
"All","Bolton","68"
"All","Bournemouth","71"
"All","Bracknell Forest","74"
"All","Bradford","67"
"All","Brent","68"
"All","Brighton and Hove","69"
"All","Bristol, City of","68"
"All","Bromley","76"
"All","Buckinghamshire","72"
"All","Bury","67"
"All","Calderdale","64"
"All","Cambridgeshire","68"
"All","Camden","71"
"All","Central Bedfordshire","73"
"All","Cheshire East","70"
"All","Cheshire West and Chester","68"
"All","City of London","!"
"All","Cornwall","66"
"All","County Durham","73"
"All","Coventry","65"
"All","Croydon","72"
"All","Cumbria","69"
"All","Darlington","71"
"All","Derby","68"
"All","Derbyshire","70"
"All","Devon","69"
"All","Doncaster","69"
"All","Dorset","70"
"All","Dudley","67"
"All","Ealing","70"
"All","East Riding of Yorkshire","71"
"All","East Sussex","73"
"All","Enfield","69"
"All","Essex","71"
"All","Gateshead","72"
"All","Gloucestershire","69"
"All","Greenwich","76"
"All","Hackney","77"
"All","Halton","67"
"All","Hammersmith and Fulham","74"
"All","Hampshire","74"
"All","Haringey","74"
"All","Harrow","74"
"All","Hartlepool","72"
"All","Havering","73"
"All","Herefordshire, County of","73"
"All","Hertfordshire","72"
"All","Hillingdon","70"
"All","Hounslow","75"
"All","Isle of Wight","61"
"All","Isles of Scilly","!"
"All","Islington","72"
"All","Kensington and Chelsea","76"
"All","Kent","73"
"All","Kingston upon Hull, City of","67"
"All","Kingston upon Thames","74"
"All","Kirklees","67"
"All","Knowsley","65"
"All","Lambeth","75"
"All","Lancashire","69"
"All","Leeds","63"
"All","Leicester","64"
"All","Leicestershire","69"
"All","Lewisham","73"
"All","Lincolnshire","67"
"All","Liverpool","64"
"All","Luton","66"
"All","Manchester","67"
"All","Medway","72"
"All","Merton","71"
