"FSM","Ethnicity","%"
"FSM","All","53"
"FSM","Asian","64"
"FSM","Bangladeshi","68"
"FSM","Indian","68"
"FSM","Pakistani","62"
"FSM","Asian other","63"
"FSM","Black","65"
"FSM","Black African","68"
"FSM","Black Caribbean","58"
"FSM","Black other","63"
"FSM","Chinese","71"
"FSM","Mixed","59"
"FSM","Mixed White/Asian","61"
"FSM","Mixed White/Black African","64"
"FSM","Mixed White/Black Caribbean","54"
"FSM","Mixed other","61"
"FSM","White","49"
"FSM","White British","50"
"FSM","White Irish","42"
"FSM","Gypsy/Roma","25"
"FSM","Irish Traveller","19"
"FSM","White other","55"
"FSM","Other","56"
"FSM","Unknown","53"
"Non-FSM","All","73"
"Non-FSM","Asian","75"
"Non-FSM","Bangladeshi","74"
"Non-FSM","Indian","82"
"Non-FSM","Pakistani","69"
"Non-FSM","Asian other","77"
"Non-FSM","Black","73"
"Non-FSM","Black African","75"
"Non-FSM","Black Caribbean","68"
"Non-FSM","Black other","71"
"Non-FSM","Chinese","84"
"Non-FSM","Mixed","75"
"Non-FSM","Mixed White/Asian","79"
"Non-FSM","Mixed White/Black African","75"
"Non-FSM","Mixed White/Black Caribbean","69"
"Non-FSM","Mixed other","76"
"Non-FSM","White","72"
"Non-FSM","White British","73"
"Non-FSM","White Irish","75"
"Non-FSM","Gypsy/Roma","24"
"Non-FSM","Irish Traveller","31"
"Non-FSM","White other","67"
"Non-FSM","Other","67"
"Non-FSM","Unknown","53"
