"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","63","12"
"Boys","Asian","68","14"
"Boys","Bangladeshi","67","13"
"Boys","Indian","77","19"
"Boys","Pakistani","61","9"
"Boys","Asian other","71","16"
"Boys","Black","65","12"
"Boys","Black African","67","13"
"Boys","Black Caribbean","57","8"
"Boys","Black other","63","10"
"Boys","Chinese","79","25"
"Boys","Mixed","66","14"
"Boys","Mixed White/Asian","71","17"
"Boys","Mixed White/Black African","67","14"
"Boys","Mixed White/Black Caribbean","57","8"
"Boys","Mixed other","67","15"
"Boys","White","63","11"
"Boys","White British","63","12"
"Boys","White Irish","64","14"
"Boys","Gypsy/Roma","19","1"
"Boys","Irish Traveller","18","1"
"Boys","White other","61","11"
"Boys","Other","59","9"
"Boys","Unknown","47","8"
"Girls","All","77","20"
"Girls","Asian","80","22"
"Girls","Bangladeshi","80","21"
"Girls","Indian","87","29"
"Girls","Pakistani","75","16"
"Girls","Asian other","81","23"
"Girls","Black","78","20"
"Girls","Black African","80","22"
"Girls","Black Caribbean","74","16"
"Girls","Black other","76","18"
"Girls","Chinese","87","37"
"Girls","Mixed","78","22"
"Girls","Mixed White/Asian","83","27"
"Girls","Mixed White/Black African","79","21"
"Girls","Mixed White/Black Caribbean","73","15"
"Girls","Mixed other","79","23"
"Girls","White","76","20"
"Girls","White British","77","20"
"Girls","White Irish","77","24"
"Girls","Gypsy/Roma","31","2"
"Girls","Irish Traveller","30","2"
"Girls","White other","73","18"
"Girls","Other","71","16"
"Girls","Unknown","59","15"
