"Ethnicity","Geography","boys","girls"
"All","Barking and Dagenham","63","78"
"All","Barnet","68","79"
"All","Barnsley","59","75"
"All","Bath and North East Somerset","65","78"
"All","Bedford","59","73"
"All","Bexley","71","81"
"All","Birmingham","61","73"
"All","Blackburn with Darwen","61","76"
"All","Blackpool","61","73"
"All","Bolton","62","74"
"All","Bournemouth","64","78"
"All","Bracknell Forest","65","82"
"All","Bradford","60","74"
"All","Brent","61","76"
"All","Brighton and Hove","62","76"
"All","Bristol, City of","62","74"
"All","Bromley","71","80"
"All","Buckinghamshire","65","79"
"All","Bury","62","73"
"All","Calderdale","56","72"
"All","Cambridgeshire","63","74"
"All","Camden","65","76"
"All","Central Bedfordshire","67","79"
"All","Cheshire East","63","78"
"All","Cheshire West and Chester","61","75"
"All","City of London","!","!"
"All","Cornwall","58","74"
"All","County Durham","67","79"
"All","Coventry","58","73"
"All","Croydon","66","79"
"All","Cumbria","62","77"
"All","Darlington","65","78"
"All","Derby","61","75"
"All","Derbyshire","64","77"
"All","Devon","62","76"
"All","Doncaster","61","77"
"All","Dorset","64","76"
"All","Dudley","59","76"
"All","Ealing","64","76"
"All","East Riding of Yorkshire","65","77"
"All","East Sussex","66","81"
"All","Enfield","63","74"
"All","Essex","66","78"
"All","Gateshead","65","79"
"All","Gloucestershire","63","76"
"All","Greenwich","70","82"
"All","Hackney","72","83"
"All","Halton","60","74"
"All","Hammersmith and Fulham","70","78"
"All","Hampshire","68","80"
"All","Haringey","68","80"
"All","Harrow","69","79"
"All","Hartlepool","64","80"
"All","Havering","67","80"
"All","Herefordshire, County of","65","82"
"All","Hertfordshire","66","79"
"All","Hillingdon","64","77"
"All","Hounslow","70","82"
"All","Isle of Wight","52","70"
"All","Isles of Scilly","!","!"
"All","Islington","66","79"
"All","Kensington and Chelsea","69","82"
"All","Kent","67","80"
"All","Kingston upon Hull, City of","61","74"
"All","Kingston upon Thames","68","79"
"All","Kirklees","60","75"
"All","Knowsley","57","74"
"All","Lambeth","70","80"
"All","Lancashire","63","76"
"All","Leeds","57","69"
"All","Leicester","59","69"
"All","Leicestershire","62","77"
"All","Lewisham","68","78"
"All","Lincolnshire","60","74"
"All","Liverpool","57","72"
"All","Luton","58","75"
"All","Manchester","61","73"
"All","Medway","66","79"
"All","Merton","66","76"
"All","Middlesbrough","58","71"
"All","Milton Keynes","61","77"
"All","Newcastle upon Tyne","67","78"
"All","Newham","71","82"
"All","Norfolk","61","74"
"All","North East Lincolnshire","61","76"
"All","North Lincolnshire","62","79"
"All","North Somerset","65","78"
"All","North Tyneside","68","79"
"All","North Yorkshire","63","77"
"All","Northamptonshire","63","75"
"All","Northumberland","67","82"
"All","Nottingham","58","71"
"All","Nottinghamshire","61","77"
"All","Oldham","56","72"
"All","Oxfordshire","62","76"
"All","Peterborough","55","70"
"All","Plymouth","60","76"
"All","Poole","68","79"
"All","Portsmouth","60","75"
"All","Reading","64","72"
"All","Redbridge","72","81"
"All","Redcar and Cleveland","69","80"
"All","Richmond upon Thames","71","83"
"All","Rochdale","58","74"
"All","Rotherham","64","76"
"All","Rutland","60","80"
"All","Salford","60","75"
"All","Sandwell","59","72"
"All","Sefton","60","76"
"All","Sheffield","62","74"
"All","Shropshire","60","75"
"All","Slough","64","80"
"All","Solihull","65","79"
"All","Somerset","66","79"
"All","South Gloucestershire","66","82"
"All","South Tyneside","65","80"
"All","Southampton","60","77"
"All","Southend-on-Sea","62","78"
"All","Southwark","68","81"
"All","St. Helens","62","77"
"All","Staffordshire","67","80"
"All","Stockport","62","76"
"All","Stockton-on-Tees","66","80"
"All","Stoke-on-Trent","60","73"
"All","Suffolk","60","76"
"All","Sunderland","64","79"
"All","Surrey","66","80"
"All","Sutton","68","82"
"All","Swindon","67","79"
"All","Tameside","58","76"
"All","Telford and Wrekin","65","77"
"All","Thurrock","67","78"
"All","Torbay","60","77"
"All","Tower Hamlets","67","79"
"All","Trafford","67","78"
"All","Wakefield","61","73"
"All","Walsall","57","73"
"All","Waltham Forest","69","82"
"All","Wandsworth","74","83"
"All","Warrington","65","80"
"All","Warwickshire","64","79"
"All","West Berkshire","64","79"
"All","West Sussex","59","74"
"All","Westminster","68","79"
"All","Wigan","62","78"
"All","Wiltshire","62","75"
"All","Windsor and Maidenhead","66","81"
"All","Wirral","60","75"
"All","Wokingham","70","80"
"All","Wolverhampton","63","76"
"All","Worcestershire","65","77"
"All","York","67","76"
"Asian","Barking and Dagenham","66","88"
"Asian","Barnet","74","83"
"Asian","Barnsley","70","60"
"Asian","Bath and North East Somerset","95","86"
"Asian","Bedford","60","66"
"Asian","Bexley","83","87"
"Asian","Birmingham","63","77"
"Asian","Blackburn with Darwen","63","79"
"Asian","Blackpool","77","84"
"Asian","Bolton","66","79"
"Asian","Bournemouth","82","89"
"Asian","Bracknell Forest","78","90"
"Asian","Bradford","63","78"
"Asian","Brent","69","83"
"Asian","Brighton and Hove","62","63"
"Asian","Bristol, City of","68","72"
"Asian","Bromley","81","89"
"Asian","Buckinghamshire","67","75"
"Asian","Bury","63","70"
"Asian","Calderdale","57","68"
"Asian","Cambridgeshire","74","81"
"Asian","Camden","67","80"
"Asian","Central Bedfordshire","69","86"
"Asian","Cheshire East","78","79"
