"","Boys","","Girls",""
"Ethnicity","FSM","Non-FSM","FSM","Non-FSM"
"All","45","66","61","79"
"Asian","57","69","72","81"
"Bangladeshi","60","69","77","80"
"Indian","61","77","76","87"
"Pakistani","55","62","69","76"
"Asian other","57","72","70","82"
"Black","59","67","72","80"
"Black African","62","69","74","81"
"Black Caribbean","49","60","66","77"
"Black other","58","64","68","78"
"Chinese","65","80","80","88"
"Mixed","50","69","67","81"
"Mixed White/Asian","52","74","69","85"
"Mixed White/Black African","56","69","70","81"
"Mixed White/Black Caribbean","44","61","64","77"
"Mixed other","54","70","67","82"
"White","41","66","58","79"
"White British","42","67","58","80"
"White Irish","33","69","52","82"
"Gypsy/Roma","18","19","33","30"
"Irish Traveller","14","24","23","39"
"White other","49","62","62","74"
"Other","50","62","63","72"
"Unknown","44","48","64","58"
