"Ethnicity","Local authority","%"
"All","Barking and Dagenham","69"
"All","Barnet","74"
"All","Barnsley","67"
"All","Bath and North East Somerset","71"
"All","Bedford","61"
"All","Bexley","74"
"All","Birmingham","67"
"All","Blackburn with Darwen","68"
"All","Blackpool","65"
"All","Bolton","68"
"All","Bournemouth, Christchurch and Poole","70"
"All","Bracknell Forest","72"
"All","Bradford","67"
"All","Brent","68"
"All","Brighton and Hove","70"
"All","Bristol, City of","68"
"All","Bromley","76"
"All","Buckinghamshire","71"
"All","Bury","66"
"All","Calderdale","64"
"All","Cambridgeshire","67"
"All","Camden","70"
"All","Central Bedfordshire","72"
"All","Cheshire East","70"
"All","Cheshire West and Chester","65"
"All","City of London","!"
"All","Cornwall","65"
"All","County Durham","72"
"All","Coventry","65"
"All","Croydon","72"
"All","Cumbria","68"
"All","Darlington","68"
"All","Derby","66"
"All","Derbyshire","69"
"All","Devon","68"
"All","Doncaster","68"
"All","Dorset","68"
"All","Dudley","67"
"All","Ealing","70"
"All","East Riding of Yorkshire","70"
"All","East Sussex","72"
"All","Enfield","65"
"All","Essex","71"
"All","Gateshead","70"
"All","Gloucestershire","67"
"All","Greenwich","75"
"All","Hackney","76"
"All","Halton","66"
"All","Hammersmith and Fulham","74"
"All","Hampshire","74"
"All","Haringey","72"
"All","Harrow","74"
"All","Hartlepool","70"
"All","Havering","72"
"All","Herefordshire, County of","73"
"All","Hertfordshire","71"
"All","Hillingdon","70"
"All","Hounslow","74"
"All","Isle of Wight","64"
"All","Isles of Scilly","!"
"All","Islington","72"
"All","Kensington and Chelsea","75"
"All","Kent","71"
"All","Kingston upon Hull, City of","66"
"All","Kingston upon Thames","73"
"All","Kirklees","67"
"All","Knowsley","65"
"All","Lambeth","74"
"All","Lancashire","68"
"All","Leeds","63"
"All","Leicester","65"
"All","Leicestershire","70"
"All","Lewisham","70"
"All","Lincolnshire","67"
"All","Liverpool","64"
"All","Luton","64"
"All","Manchester","66"
"All","Medway","71"
"All","Merton","70"
"All","Middlesbrough","66"
"All","Milton Keynes","71"
"All","Newcastle upon Tyne","71"
"All","Newham","75"
"All","Norfolk","66"
"All","North East Lincolnshire","70"
"All","North Lincolnshire","70"
"All","North Somerset","71"
"All","North Tyneside","72"
"All","North Yorkshire","68"
"All","Northamptonshire","68"
"All","Northumberland","73"
"All","Nottingham","64"
"All","Nottinghamshire","68"
"All","Oldham","65"
"All","Oxfordshire","70"
"All","Peterborough","62"
"All","Plymouth","66"
"All","Portsmouth","66"
"All","Reading","65"
"All","Redbridge","74"
"All","Redcar and Cleveland","73"
"All","Richmond upon Thames","76"
"All","Rochdale","64"
"All","Rotherham","68"
"All","Rutland","74"
"All","Salford","68"
"All","Sandwell","66"
"All","Sefton","68"
"All","Sheffield","67"
"All","Shropshire","67"
"All","Slough","71"
"All","Solihull","72"
"All","Somerset","71"
"All","South Gloucestershire","74"
"All","South Tyneside","70"
"All","Southampton","67"
"All","Southend-on-Sea","69"
"All","Southwark","73"
"All","St. Helens","69"
"All","Staffordshire","72"
"All","Stockport","69"
"All","Stockton-on-Tees","74"
"All","Stoke-on-Trent","65"
"All","Suffolk","66"
"All","Sunderland","72"
"All","Surrey","72"
"All","Sutton","76"
"All","Swindon","70"
"All","Tameside","67"
"All","Telford and Wrekin","71"
"All","Thurrock","69"
"All","Torbay","69"
"All","Tower Hamlets","72"
"All","Trafford","72"
"All","Wakefield","67"
"All","Walsall","67"
"All","Waltham Forest","75"
"All","Wandsworth","75"
"All","Warrington","73"
"All","Warwickshire","71"
"All","West Berkshire","69"
"All","West Sussex","68"
"All","Westminster","71"
"All","Wigan","70"
"All","Wiltshire","68"
"All","Windsor and Maidenhead","71"
"All","Wirral","66"
"All","Wokingham","74"
"All","Wolverhampton","69"
"All","Worcestershire","69"
"All","York","71"
"Asian","Barking and Dagenham","73"
"Asian","Barnet","78"
"Asian","Barnsley","82"
"Asian","Bath and North East Somerset","72"
"Asian","Bedford","59"
"Asian","Bexley","83"
"Asian","Birmingham","70"
"Asian","Blackburn with Darwen","69"
"Asian","Blackpool","81"
"Asian","Bolton","73"
"Asian","Bournemouth, Christchurch and Poole","76"
"Asian","Bracknell Forest","81"
"Asian","Bradford","71"
"Asian","Brent","74"
"Asian","Brighton and Hove","65"
"Asian","Bristol, City of","65"
"Asian","Bromley","90"
"Asian","Buckinghamshire","70"
"Asian","Bury","61"
"Asian","Calderdale","60"
"Asian","Cambridgeshire","74"
"Asian","Camden","68"
"Asian","Central Bedfordshire","82"
"Asian","Cheshire East","73"
"Asian","Cheshire West and Chester","72"
"Asian","City of London","!"
"Asian","Cornwall","78"
"Asian","County Durham","68"
"Asian","Coventry","73"
"Asian","Croydon","79"
"Asian","Cumbria","72"
"Asian","Darlington","66"
"Asian","Derby","74"
"Asian","Derbyshire","65"
"Asian","Devon","67"
"Asian","Doncaster","68"
"Asian","Dorset","79"
"Asian","Dudley","71"
"Asian","Ealing","73"
"Asian","East Riding of Yorkshire","82"
"Asian","East Sussex","78"
"Asian","Enfield","75"
"Asian","Essex","80"
"Asian","Gateshead","77"
"Asian","Gloucestershire","71"
"Asian","Greenwich","89"
"Asian","Hackney","82"
"Asian","Halton","80"
"Asian","Hammersmith and Fulham","78"
"Asian","Hampshire","80"
"Asian","Haringey","81"
"Asian","Harrow","82"
"Asian","Hartlepool","66"
"Asian","Havering","78"
"Asian","Herefordshire, County of","63"
"Asian","Hertfordshire","77"
"Asian","Hillingdon","79"
"Asian","Hounslow","80"
"Asian","Isle of Wight","43"
"Asian","Isles of Scilly","!"
"Asian","Islington","73"
"Asian","Kensington and Chelsea","73"
"Asian","Kent","79"
"Asian","Kingston upon Hull, City of","76"
"Asian","Kingston upon Thames","76"
"Asian","Kirklees","69"
"Asian","Knowsley","84"
"Asian","Lambeth","71"
"Asian","Lancashire","67"
"Asian","Leeds","63"
"Asian","Leicester","71"
"Asian","Leicestershire","80"
"Asian","Lewisham","73"
"Asian","Lincolnshire","84"
"Asian","Liverpool","69"
"Asian","Luton","70"
"Asian","Manchester","67"
"Asian","Medway","82"
"Asian","Merton","76"
"Asian","Middlesbrough","65"
"Asian","Milton Keynes","77"
"Asian","Newcastle upon Tyne","71"
"Asian","Newham","79"
"Asian","Norfolk","78"
"Asian","North East Lincolnshire","75"
"Asian","North Lincolnshire","72"
"Asian","North Somerset","79"
"Asian","North Tyneside","69"
"Asian","North Yorkshire","68"
"Asian","Northamptonshire","77"
"Asian","Northumberland","82"
"Asian","Nottingham","66"
"Asian","Nottinghamshire","72"
"Asian","Oldham","64"
"Asian","Oxfordshire","71"
"Asian","Peterborough","62"
"Asian","Plymouth","85"
"Asian","Portsmouth","74"
"Asian","Reading","70"
"Asian","Redbridge","78"
"Asian","Redcar and Cleveland","88"
"Asian","Richmond upon Thames","78"
"Asian","Rochdale","64"
"Asian","Rotherham","69"
"Asian","Rutland","67"
"Asian","Salford","76"
"Asian","Sandwell","70"
"Asian","Sefton","61"
"Asian","Sheffield","67"
"Asian","Shropshire","58"
"Asian","Slough","76"
"Asian","Solihull","79"
"Asian","Somerset","76"
"Asian","South Gloucestershire","90"
"Asian","South Tyneside","74"
"Asian","Southampton","68"
"Asian","Southend-on-Sea","73"
"Asian","Southwark","77"
"Asian","St. Helens","69"
"Asian","Staffordshire","76"
"Asian","Stockport","70"
"Asian","Stockton-on-Tees","80"
"Asian","Stoke-on-Trent","69"
"Asian","Suffolk","77"
"Asian","Sunderland","70"
"Asian","Surrey","76"
"Asian","Sutton","86"
"Asian","Swindon","74"
"Asian","Tameside","70"
"Asian","Telford and Wrekin","65"
"Asian","Thurrock","80"
"Asian","Torbay","91"
"Asian","Tower Hamlets","73"
"Asian","Trafford","74"
"Asian","Wakefield","64"
"Asian","Walsall","74"
"Asian","Waltham Forest","79"
"Asian","Wandsworth","73"
"Asian","Warrington","77"
"Asian","Warwickshire","78"
"Asian","West Berkshire","76"
"Asian","West Sussex","73"
"Asian","Westminster","78"
"Asian","Wigan","72"
"Asian","Wiltshire","67"
"Asian","Windsor and Maidenhead","70"
"Asian","Wirral","75"
"Asian","Wokingham","83"
"Asian","Wolverhampton","78"
"Asian","Worcestershire","68"
"Asian","York","76"
"Black","Barking and Dagenham","75"
"Black","Barnet","75"
"Black","Barnsley","57"
"Black","Bath and North East Somerset","80"
"Black","Bedford","66"
"Black","Bexley","81"
"Black","Birmingham","67"
"Black","Blackburn with Darwen","58"
"Black","Blackpool","45"
"Black","Bolton","60"
"Black","Bournemouth, Christchurch and Poole","67"
"Black","Bracknell Forest","87"
"Black","Bradford","70"
"Black","Brent","68"
"Black","Brighton and Hove","80"
"Black","Bristol, City of","62"
"Black","Bromley","72"
"Black","Buckinghamshire","69"
"Black","Bury","67"
"Black","Calderdale","48"
"Black","Cambridgeshire","71"
"Black","Camden","69"
"Black","Central Bedfordshire","74"
"Black","Cheshire East","63"
"Black","Cheshire West and Chester","48"
"Black","City of London","!"
"Black","Cornwall","43"
"Black","County Durham","92"
"Black","Coventry","66"
"Black","Croydon","74"
"Black","Cumbria","67"
"Black","Darlington","91"
"Black","Derby","74"
"Black","Derbyshire","79"
"Black","Devon","80"
"Black","Doncaster","70"
"Black","Dorset","58"
"Black","Dudley","66"
"Black","Ealing","65"
"Black","East Riding of Yorkshire","100"
"Black","East Sussex","67"
"Black","Enfield","66"
"Black","Essex","73"
"Black","Gateshead","72"
"Black","Gloucestershire","70"
"Black","Greenwich","80"
"Black","Hackney","76"
"Black","Halton","100"
"Black","Hammersmith and Fulham","67"
"Black","Hampshire","81"
"Black","Haringey","74"
"Black","Harrow","67"
"Black","Hartlepool","83"
"Black","Havering","75"
"Black","Herefordshire, County of","85"
"Black","Hertfordshire","69"
"Black","Hillingdon","71"
"Black","Hounslow","72"
"Black","Isle of Wight","75"
"Black","Isles of Scilly","!"
"Black","Islington","72"
"Black","Kensington and Chelsea","74"
"Black","Kent","81"
"Black","Kingston upon Hull, City of","68"
"Black","Kingston upon Thames","63"
"Black","Kirklees","73"
"Black","Knowsley","76"
"Black","Lambeth","71"
"Black","Lancashire","78"
