"Ethnicity","Expected standard","Higher standard"
"All","69","15"
"Asian","73","16"
"Bangladeshi","72","17"
"Indian","80","22"
"Pakistani","68","12"
"Asian other","74","18"
"Black","71","15"
"Black African","73","16"
"Black Caribbean","65","10"
"Black other","68","14"
"Chinese","83","28"
"Mixed","71","17"
"Mixed White/Asian","77","21"
"Mixed White/Black African","71","16"
"Mixed White/Black Caribbean","64","11"
"Mixed other","72","18"
"White","69","14"
"White British","69","15"
"White Irish","72","19"
"Gypsy/Roma","26","2"
"Irish Traveller","30","2"
"White other","67","13"
"Other","64","12"
"Unknown","51","10"
