"gender","Ethnicity","Expected standard","Higher standard","Average scaled score"
"Boys","All","73","30","105"
"Boys","Asian","81","43","108"
"Boys","Bangladeshi","83","43","108"
"Boys","Indian","86","53","110"
"Boys","Pakistani","76","34","106"
"Boys","Asian other","83","48","109"
"Boys","Black","77","35","106"
"Boys","Black African","80","39","107"
"Boys","Black Caribbean","68","23","104"
"Boys","Black other","73","30","105"
"Boys","Chinese","87","56","110"
"Boys","Mixed","75","32","106"
"Boys","Mixed White/Asian","80","40","107"
"Boys","Mixed White/Black African","77","31","106"
"Boys","Mixed White/Black Caribbean","67","22","104"
"Boys","Mixed other","77","35","106"
"Boys","White","72","27","105"
"Boys","White British","72","27","105"
"Boys","White Irish","75","35","106"
"Boys","Gypsy/Roma","23","4","94"
"Boys","Irish Traveller","33","7","97"
"Boys","White other","71","30","105"
"Boys","Other","74","35","106"
"Boys","Unknown","60","25","104"
"Girls","All","82","39","107"
"Girls","Asian","87","53","110"
"Girls","Bangladeshi","88","53","110"
"Girls","Indian","92","63","111"
"Girls","Pakistani","83","44","108"
"Girls","Asian other","89","58","110"
"Girls","Black","85","45","108"
"Girls","Black African","87","48","109"
"Girls","Black Caribbean","81","34","106"
"Girls","Black other","84","43","108"
"Girls","Chinese","92","67","112"
"Girls","Mixed","84","42","108"
"Girls","Mixed White/Asian","88","49","109"
"Girls","Mixed White/Black African","85","42","108"
"Girls","Mixed White/Black Caribbean","78","32","106"
"Girls","Mixed other","86","45","108"
"Girls","White","81","36","107"
"Girls","White British","82","36","107"
"Girls","White Irish","85","42","108"
"Girls","Gypsy/Roma","33","5","96"
"Girls","Irish Traveller","36","8","98"
"Girls","White other","78","38","107"
"Girls","Other","79","42","108"
"Girls","Unknown","68","32","106"
