"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local authority","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"Barking and Dagenham","83","2,898","89","681","88","959","100","10","79","243","76","959","67","32"
"Barnet","85","3,570","90","420","82","407","95","52","85","364","85","1,889","86","398"
"Barnsley","77","2,182","96","24","77","17","100","2","79","56","77","2,061","90","9"
"Bath and North East Somerset","80","1,454","89","25","73","8","80","4","86","81","80","1,318","67","6"
"Bedford","72","1,560","76","250","83","104","83","5","69","175","71","1,004","57","16"
"Bexley","82","2,745","91","247","90","545","100","56","82","193","77","1,640","78","46"
"Birmingham","79","12,863","84","5,076","81","1,707","89","77","78","1,084","74","4,098","78","665"
"Blackburn with Darwen","82","1,798","86","846","88","29","100","5","86","62","77","830","100","21"
"Blackpool","80","1,334","91","32","60","3","75","3","77","46","80","1,244","63","5"
"Bolton","81","3,191","85","820","74","184","100","6","84","131","80","1,981","74","55"
"Bournemouth, Christchurch and Poole","79","3,019","92","121","88","14","93","13","81","184","78","2,627","78","31"
"Bracknell Forest","80","1,134","92","72","88","42","90","9","80","81","79","919","86","6"
"Bradford","78","6,171","83","2,800","83","109","100","7","76","309","74","2,839","75","76"
"Brent","84","3,065","87","962","85","744","100","9","85","240","81","746","80","343"
"Brighton and Hove","78","2,107","87","74","88","51","89","17","85","238","77","1,643","80","45"
"Bristol, City of","77","3,741","80","310","75","409","96","22","74","330","78","2,617","69","34"
"Bromley","83","3,103","94","201","85","312","96","27","83","340","82","2,121","76","52"
"Buckinghamshire","81","5,045","86","903","82","136","92","23","81","394","79","3,515","83","35"
"Bury","79","1,888","81","294","76","44","83","10","81","94","79","1,416","77","24"
"Calderdale","78","2,149","85","408","56","14","100","9","82","90","77","1,611","73","11"
"Cambridgeshire","76","5,387","91","270","83","71","92","44","80","302","75","4,587","80","49"
"Camden","84","1,296","86","295","84","244","94","16","85","145","84","511","83","67"
"Central Bedfordshire","73","2,549","86","64","87","77","100","4","75","193","72","2,174","83","15"
"Cheshire East","81","3,428","85","73","81","13","79","11","84","147","81","3,154","79","15"
"Cheshire West and Chester","79","3,165","92","55","63","12","76","13","79","84","79","2,976","81","17"
"City of London","100","28","100","11","100","2","N/A","N/A","100","4","100","9","100","2"
"Cornwall","73","4,285","73","11","67","2","89","8","78","112","73","4,088","77","17"
"County Durham","79","4,504","88","30","78","7","78","14","87","87","79","4,342","84","16"
"Coventry","79","3,470","83","792","84","448","90","19","81","238","76","1,895","69","49"
"Croydon","79","3,684","90","654","79","1,044","91","29","75","546","77","1,313","80","55"
"Cumbria","78","4,073","84","37","78","7","75","6","83","64","78","3,895","84","16"
"Darlington","79","1,014","84","26","71","5","100","1","80","24","79","942","82","9"
"Derby","75","2,493","85","530","86","112","100","10","77","192","72","1,568","73","54"
"Derbyshire","78","6,806","93","99","79","19","97","32","82","214","78","6,369","86","19"
"Devon","76","6,030","92","57","91","10","91","21","77","150","76","5,715","68","36"
"Doncaster","75","2,815","81","88","80","44","86","18","76","84","75","2,554","77","17"
"Dorset","76","2,954","93","25","83","10","100","12","78","95","75","2,794","100","3"
"Dudley","74","2,888","84","341","70","66","71","10","73","189","74","2,219","62","51"
"Ealing","86","3,742","89","1,114","85","586","100","18","87","313","85","1,118","84","556"
"East Riding of Yorkshire","78","2,863","94","16","71","5","100","2","86","67","78","2,736","78","14"
"East Sussex","73","3,993","85","98","78","32","93","13","75","242","72","3,552","53","17"
"Enfield","80","3,721","90","347","82","960","93","27","83","400","76","1,718","86","213"
"Essex","79","13,111","94","420","88","459","94","51","83","745","78","11,187","81","107"
