"","Boys","","","Girls","",""
"Ethnicity","Expected","Higher","Average scaled score","Expected","Higher","Average scaled score"
"All","74","31","105","83","41","107"
"Asian","82","45","108","89","55","110"
"Bangladeshi","83","46","109","90","57","110"
"Indian","87","54","110","93","65","112"
"Pakistani","78","36","107","86","47","109"
"Asian other","84","49","109","89","59","111"
"Black","77","37","107","86","47","109"
"Black African","81","41","108","88","52","110"
"Black Caribbean","67","22","104","81","36","107"
"Black other","73","32","106","84","42","108"
"Chinese","88","59","111","93","68","112"
"Mixed","75","34","106","85","44","108"
"Mixed White/Asian","81","41","107","89","52","110"
"Mixed White/Black African","74","33","106","86","44","108"
"Mixed White/Black Caribbean","68","23","104","80","34","106"
"Mixed other","77","37","107","86","46","109"
"White","72","28","105","81","38","107"
"White British","72","27","105","82","37","107"
"White Irish","79","36","106","85","45","108"
"Gypsy/Roma","24","3","95","34","8","97"
"Irish Traveller","31","6","97","43","9","99"
"White other","72","31","105","80","41","107"
"Other","73","37","106","81","45","108"
"Unknown","57","22","104","66","32","106"
