"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","All","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 10-11","83","%","3500","2898"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","All","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys"," 10-11","79","%","1779","1408"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","All","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls"," 10-11","87","%","1721","1490"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","All","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 10-11","89","%","762","681"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys"," 10-11","88","%","383","338"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls"," 10-11","91","%","379","343"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Asian","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 10-11","88","%","1085","959"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys"," 10-11","84","%","558","471"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls"," 10-11","93","%","527","488"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Black","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 10-11","100","%","10","10"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys"," 10-11","100","%","4","4"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls"," 10-11","100","%","6","6"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Chinese","ONS 2011 18+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Other"," 10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Mixed","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All"," 10-11","79","%","309","243"
"Percentage of pupils reaching the expected standard in key stage 2 grammar, punctiation and spelling","Mixed","ONS 2011 5+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys"," 10-11","77","%","164","127"
