"Ethnicity","Expected standard","Higher standard","Average scaled score"
"All","78","34","106"
"Asian","84","48","109"
"Bangladeshi","85","48","109"
"Indian","89","58","110"
"Pakistani","80","39","107"
"Asian other","86","53","110"
"Black","81","40","107"
"Black African","83","43","108"
"Black Caribbean","74","28","105"
"Black other","79","36","107"
"Chinese","90","62","111"
"Mixed","80","37","107"
"Mixed White/Asian","84","45","108"
"Mixed White/Black African","81","36","107"
"Mixed White/Black Caribbean","73","27","105"
"Mixed other","82","40","107"
"White","76","32","106"
"White British","77","32","106"
"White Irish","80","39","107"
"Gypsy/Roma","28","5","95"
"Irish Traveller","35","7","97"
"White other","75","34","106"
"Other","76","39","107"
"Unknown","64","28","105"
