"gender","Ethnicity","Expected standard","Higher standard","average scaled","Progress score"
"Boys","All","75","26","105","0.7"
"Boys","Asian","81","35","106","2.7"
"Boys","Bangladeshi","81","33","106","2.9"
"Boys","Indian","87","45","108","3.4"
"Boys","Pakistani","75","25","105","1.8"
"Boys","Asian other","84","42","108","3.5"
"Boys","Black","73","21","104","0.7"
"Boys","Black African","76","25","105","1.3"
"Boys","Black Caribbean","63","12","102","-1.0"
"Boys","Black other","69","18","103","0.2"
"Boys","Chinese","92","62","111","5.3"
"Boys","Mixed","75","26","105","0.6"
"Boys","Mixed White/Asian","81","35","106","1.4"
"Boys","Mixed White/Black African","75","23","104","0.4"
"Boys","Mixed White/Black Caribbean","66","15","102","-0.8"
"Boys","Mixed other","77","29","105","1.2"
"Boys","White","75","24","104","0.3"
"Boys","White British","75","24","104","0.2"
"Boys","White Irish","77","29","106","0.8"
"Boys","Gypsy/Roma","30","3","96","-0.2"
"Boys","Irish Traveller","35","4","97","-0.1"
"Boys","White other","76","28","105","3.0"
"Boys","Other","77","29","106","3.2"
"Boys","Unknown","63","21","104","0.4"
"Girls","All","76","22","104","-0.7"
"Girls","Asian","81","30","106","1.1"
"Girls","Bangladeshi","81","27","105","1.1"
"Girls","Indian","88","42","108","1.8"
"Girls","Pakistani","75","20","104","0.3"
"Girls","Asian other","85","39","107","2.1"
"Girls","Black","77","20","104","-0.1"
"Girls","Black African","79","23","105","0.4"
"Girls","Black Caribbean","69","13","102","-1.6"
"Girls","Black other","75","18","104","-0.3"
"Girls","Chinese","95","60","111","4.1"
"Girls","Mixed","76","23","104","-0.7"
"Girls","Mixed White/Asian","81","30","106","0.0"
"Girls","Mixed White/Black African","77","20","104","-0.8"
"Girls","Mixed White/Black Caribbean","68","15","102","-1.9"
"Girls","Mixed other","78","26","105","-0.1"
"Girls","White","75","20","104","-1.0"
"Girls","White British","75","20","104","-1.2"
"Girls","White Irish","79","26","105","-0.2"
"Girls","Gypsy/Roma","30","2","95","-1.2"
"Girls","Irish Traveller","31","2","95","-2.1"
"Girls","White other","76","23","104","1.4"
"Girls","Other","75","23","105","1.4"
"Girls","Unknown","65","17","103","-0.8"
