"gender","Ethnicity","Expected standard","Higher standard","Average scaled score","Progress score"
"Boys","All","78","29","105","0.7"
"Boys","Asian","84","39","107","2.6"
"Boys","Bangladeshi","83","37","107","2.7"
"Boys","Indian","89","51","109","3.2"
"Boys","Pakistani","79","29","105","1.9"
"Boys","Asian other","87","45","108","3.3"
"Boys","Black","76","25","105","0.7"
"Boys","Black African","79","28","106","1.3"
"Boys","Black Caribbean","67","15","102","-1.1"
"Boys","Black other","71","23","104","0.3"
"Boys","Chinese","93","68","112","5.1"
"Boys","Mixed","78","29","105","0.5"
"Boys","Mixed White/Asian","84","39","107","1.4"
"Boys","Mixed White/Black African","76","26","105","0.3"
"Boys","Mixed White/Black Caribbean","70","19","103","-0.8"
"Boys","Mixed other","80","32","106","1.0"
"Boys","White","78","28","105","0.4"
"Boys","White British","78","27","105","0.2"
"Boys","White Irish","82","36","107","1.3"
"Boys","Gypsy/Roma","33","5","97","0.0"
"Boys","Irish Traveller","39","6","98","-1.0"
"Boys","White other","79","33","106","3.0"
"Boys","Other","78","34","106","3.1"
"Boys","Unknown","61","21","104","0.2"
"Girls","All","79","24","105","-0.7"
"Girls","Asian","84","34","106","1.1"
"Girls","Bangladeshi","85","32","106","1.1"
"Girls","Indian","90","45","108","1.8"
"Girls","Pakistani","79","24","105","0.2"
"Girls","Asian other","87","40","107","1.9"
"Girls","Black","80","24","105","-0.1"
"Girls","Black African","83","27","105","0.4"
"Girls","Black Caribbean","73","16","103","-1.6"
"Girls","Black other","78","21","104","-0.4"
"Girls","Chinese","95","60","111","3.7"
"Girls","Mixed","80","26","105","-0.7"
"Girls","Mixed White/Asian","85","34","106","0.0"
"Girls","Mixed White/Black African","80","24","105","-0.8"
"Girls","Mixed White/Black Caribbean","74","16","103","-1.8"
"Girls","Mixed other","81","28","105","-0.2"
"Girls","White","79","22","104","-1.1"
"Girls","White British","79","22","104","-1.3"
"Girls","White Irish","81","31","106","-0.2"
"Girls","Gypsy/Roma","35","4","96","-1.5"
"Girls","Irish Traveller","41","3","98","-1.7"
"Girls","White other","80","27","105","1.4"
"Girls","Other","79","28","105","1.6"
"Girls","Unknown","63","19","103","-1.1"
