"","Boys","","","","Girls","","",""
"Ethnicity","Expected","Higher","Average scaled score","Progress score","Expected","Higher","Average scaled score","Progress score"
"All","72","24","104","-0.4","79","32","106","0.4"
"Asian","72","24","104","0.0","79","30","106","0.5"
"Bangladeshi","72","22","104","0.3","80","29","106","0.9"
"Indian","78","32","106","0.3","85","40","107","0.9"
"Pakistani","67","18","103","-0.4","73","23","104","0.1"
"Asian other","75","26","105","0.1","81","34","106","0.7"
"Black","69","20","104","-0.2","78","28","105","0.6"
"Black African","71","21","104","0.0","79","30","106","0.8"
"Black Caribbean","64","16","102","-1.0","75","24","105","0.0"
"Black other","68","18","103","-0.2","77","26","105","0.6"
"Chinese","81","37","107","0.6","86","48","109","1.8"
"Mixed","73","26","105","-0.1","81","35","106","0.9"
"Mixed White/Asian","78","31","106","0.2","84","41","108","1.2"
"Mixed White/Black African","74","25","105","0.1","82","34","106","1.0"
"Mixed White/Black Caribbean","67","19","103","-0.8","77","28","105","0.2"
"Mixed other","75","27","105","0.2","83","36","107","1.1"
"White","72","24","104","-0.5","79","33","106","0.4"
"White British","73","25","104","-0.6","80","34","106","0.3"
"White Irish","78","33","106","0.7","87","45","108","2.2"
"Gypsy/Roma","25","3","94","-2.0","32","5","96","-0.9"
"Irish Traveller","35","7","98","-0.4","38","6","98","0.1"
"White other","66","21","103","0.7","73","29","105","1.7"
"Other","65","20","103","0.4","72","25","105","1.1"
"Unknown","59","21","103","-0.3","66","28","105","0.7"
