"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","age","value","gender","fsm","denominator","numerator","lower_95_ci","upper_95_ci"
"Key stage 2 average progress in reading","All","All","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","Non-FSM","506426","97339.046182999999","0.17520445112920399","0.20921122335433401"
"Key stage 2 average progress in reading","Mixed White and Asian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.1","All","Non-FSM","6844","7212.8170719999998","0.90762478466787599","1.2001534362556401"
"Key stage 2 average progress in reading","Bangladeshi","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.7","All","FSM","2323","1679.899913","0.47210470799688498","0.97421463165011901"
"Key stage 2 average progress in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.4","All","FSM","8598","-3600.0631709999998","-0.54920461787351804","-0.28821412392692097"
"Key stage 2 average progress in reading","Asian Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.7","All","All","10668","7347.6784859999998","0.57160616885920301","0.80591135757503596"
"Key stage 2 average progress in reading","Mixed","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","All","Non-FSM","27421","16344.851159","0.52299844168742804","0.66914270261807995"
"Key stage 2 average progress in reading","Black","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.2","All","All","34612","8198.7165160000004","0.17183504136727801","0.301914901773843"
"Key stage 2 average progress in reading","Indian","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0","All","FSM","1168","56.090420000000002","-0.30603340795156397","0.40207864767759099"
"Key stage 2 average progress in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","All","All","64854","36371.894547000004","0.51331293680490697","0.60834168887739404"
"Key stage 2 average progress in reading","Asian","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.6","All","Non-FSM","54730","34384.285273000001","0.57653033337410398","0.67997561484443003"
"Key stage 2 average progress in reading","Mixed Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.2","All","FSM","2720","-451.112593","-0.39786142426946602","6.6160988240054494E-2"
"Key stage 2 average progress in reading","Other","DfE 6+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.9","All","All","10145","8673.959519","0.73486407273072596","0.97513287532253201"
"Key stage 2 average progress in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.1","All","FSM","1265","107.467581","-0.25525623368543299","0.42516545265776501"
"Key stage 2 average progress in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.2","All","All","35276","42277.612052999997","1.1340559959220999","1.2629057941334301"
"Key stage 2 average progress in reading","Irish Traveller","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.6","All","FSM","258","-150.55642800000001","-1.3368790947418701","0.16977500171861701"
"Key stage 2 average progress in reading","White Other","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","1.3","All","Non-FSM","31938","41185.185834999997","1.22182759943893","1.35724346543671"
"Key stage 2 average progress in reading","Mixed White and Black Caribbean","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.2","All","Non-FSM","6692","-1276.7734660000001","-0.33870711416279697","-4.2874913930447497E-2"
"Key stage 2 average progress in reading","Pakistani","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","-0.1","All","FSM","5166","-534.11636099999998","-0.27174189967499002","6.4960497816688403E-2"
"Key stage 2 average progress in reading","Mixed White and Black African","DfE 18+1","2018-2019","Academic Year","England","Country","E92000001"," 10-11","0.4","All","All","5102","1850.263798","0.19325079047702501","0.53205842081265697"
