"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority ","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Barking and Dagenham","75","2,570","80","556","77","846","86","6","76","201","72","902"
"Barnet","82","3,259","84","367","75","372","91","50","83","342","85","1,794"
"Barnsley","74","2,015","82","14","73","16","100","4","87","46","74","1,913"
"Bath and North East Somerset","79","1,501","68","19","58","7","57","4","80","80","79","1,377"
"Bedford","61","1,239","56","176","55","70","86","6","65","129","63","836"
"Bexley","80","2,532","90","227","82","501","97","29","79","184","77","1,539"
"Birmingham","71","11,111","72","4,074","71","1,444","80","52","73","962","71","3,919"
"Blackburn with Darwen","75","1,642","75","752","76","25","100","5","78","50","76","801"
"Blackpool","72","1,188","71","22","100","5","78","7","69","38","72","1,111"
"Bolton","75","2,819","75","665","64","145","92","12","85","130","75","1,823"
"Bournemouth","76","1,257","93","63","79","15","75","9","79","84","75","1,062"
"Bracknell Forest","77","1,059","83","71","78","36","100","3","77","64","77","873"
"Bradford","71","5,457","71","2,332","68","82","67","2","73","301","71","2,623"
"Brent","73","2,666","74","779","71","670","83","5","72","185","77","737"
"Brighton and Hove","80","2,094","73","67","74","39","91","10","81","240","80","1,676"
"Bristol, City of","73","3,400","67","255","62","350","88","23","72","263","76","2,461"
"Bromley","82","3,008","87","170","78","263","76","22","83","339","83","2,140"
"Buckinghamshire","79","4,833","77","791","73","121","85","17","79","353","80","3,474"
"Bury","76","1,739","63","212","68","38","80","4","74","87","79","1,367"
"Calderdale","74","1,949","71","286","69","11","0","0","68","64","75","1,571"
"Cambridgeshire","75","5,092","76","211","74","62","100","39","81","293","75","4,400"
"Camden","82","1,231","78","242","78","258","100","7","89","152","84","491"
"Central Bedfordshire","74","2,451","76","64","74","67","85","11","77","164","74","2,116"
"Cheshire East","81","3,270","82","58","79","15","73","11","80","127","81","3,025"
"Cheshire West and Chester","78","2,981","75","44","60","9","80","12","88","97","78","2,804"
"City of London","76","22","40","2","50","1","N/A","N/A","67","2","87","13"
"Cornwall","75","4,342","78","21","83","5","78","7","81","96","75","4,164"
"County Durham","78","4,317","86","30","81","13","77","10","85","60","78","4,174"
"Coventry","72","2,998","77","638","71","385","80","12","71","207","71","1,702"
"Croydon","77","3,420","80","571","74","1,003","87","20","79","527","77","1,195"
"Cumbria","78","3,986","86","31","57","4","86","12","76","48","78","3,841"
"Darlington","78","961","79","23","100","5","100","3","69","20","78","903"
"Derby","71","2,285","75","434","76","107","73","11","79","220","69","1,473"
"Derbyshire","76","6,247","77","72","58","18","77","20","72","162","76","5,920"
"Devon","77","6,021","84","36","63","10","86","12","87","155","77","5,729"
"Doncaster","70","2,470","68","71","60","27","88","14","73","76","71","2,250"
"Dorset","74","3,209","73","27","79","11","89","8","80","121","74","3,017"
"Dudley","69","2,513","68","294","68","64","70","7","70","161","69","1,946"
"Ealing","77","3,167","76","922","73","474","87","13","83","319","82","970"
"East Riding of Yorkshire","77","2,723","71","10","100","2","50","1","84","56","77","2,637"
"East Sussex","76","4,060","83","99","56","19","75","9","73","180","77","3,694"
"Enfield","74","3,279","82","319","74","825","83","20","82","353","71","1,511"
"Essex","77","12,404","89","397","81","433","89","65","77","601","76","10,657"
"Gateshead","81","1,691","68","26","85","29","69","9","76","25","81","1,545"
"Gloucestershire","76","4,914","78","155","68","61","54","7","73","234","76","4,385"
"Greenwich","79","2,581","84","205","82","953","83","35","82","273","76","1,036"
"Hackney","78","1,970","82","256","76","697","85","17","79","202","79","669"
"Halton","75","1,101","100","3","75","3","N/A","N/A","90","36","75","1,046"
"Hammersmith and Fulham","83","1,109","87","78","78","276","100","2","84","149","87","463"
"Hampshire","79","11,376","83","348","75","134","92","46","82","469","78","10,275"
"Haringey","75","2,318","81","145","70","577","79","31","86","279","77","1,135"
"Harrow","81","2,242","83","1,115","81","237","100","14","83","171","80","590"
"Hartlepool","76","858","89","24","100","2","50","2","75","9","75","819"
"Havering","78","2,308","82","168","77","272","94","16","78","138","78","1,678"
"Herefordshire, County of","80","1,502","86","6","0","0","100","3","79","34","80","1,446"
"Hertfordshire","80","10,839","83","864","75","444","91","61","82","816","79","8,494"
"Hillingdon","78","2,844","80","812","76","305","60","6","80","366","76","1,125"
"Hounslow","78","2,317","82","752","74","277","100","17","84","210","76","783"
"Isle of Wight","69","912","67","12","0","0","100","4","82","31","69","861"
"Isles of Scilly","76","26","N/A","N/A","N/A","N/A","N/A","N/A","100","1","76","25"
"Islington","78","1,454","81","121","69","303","100","10","81","235","81","683"
"Kensington and Chelsea","84","809","78","29","83","133","100","4","82","144","88","322"
"Kent","77","13,352","83","533","79","341","92","44","80","735","77","11,480"
"Kingston upon Hull, City of","76","2,379","91","42","66","41","100","6","73","95","77","2,134"
"Kingston upon Thames","82","1,469","85","257","64","37","92","23","82","136","83","886"
"Kirklees","73","3,831","68","980","66","75","67","8","64","222","76","2,499"
"Knowsley","73","1,261","89","39","94","15","80","4","85","34","73","1,165"
"Lambeth","79","2,352","82","115","75","968","80","12","83","350","83","765"
"Lancashire","76","10,342","71","1,139","70","50","85","28","76","342","77","8,717"
"Leeds","72","6,476","69","736","65","434","93","51","74","387","74","4,726"
"Leicester","71","3,190","74","1,415","68","331","100","13","70","220","68","1,094"
"Leicestershire","77","5,777","82","473","83","66","88","28","74","253","76","4,903"
"Lewisham","79","2,659","79","201","77","1,020","82","37","79","372","80","883"
"Lincolnshire","72","5,556","90","63","69","24","81","13","72","170","72","5,224"
