"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barking and Dagenham","Country","E09000002","All","10-11","75","%","2570","3411"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnet","Country","E09000003","All","10-11","82","%","3259","3978"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnsley","Country","E08000016","All","10-11","74","%","2015","2721"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bath and North East Somerset","Country","E06000022","All","10-11","79","%","1501","1899"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bedford","Country","E06000055","All","10-11","61","%","1239","2024"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bexley","Country","E09000004","All","10-11","80","%","2532","3183"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Birmingham","Country","E08000025","All","10-11","71","%","11111","15593"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackburn with Darwen","Country","E06000008","All","10-11","75","%","1642","2176"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackpool","Country","E06000009","All","10-11","72","%","1188","1654"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bolton","Country","E08000001","All","10-11","75","%","2819","3766"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bournemouth","Country","E06000028","All","10-11","76","%","1257","1654"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bracknell Forest","Country","E06000036","All","10-11","77","%","1059","1375"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bradford","Country","E08000032","All","10-11","71","%","5457","7658"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Brent","Country","E09000005","All","10-11","73","%","2666","3644"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Brighton and Hove","Country","E06000043","All","10-11","80","%","2094","2631"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bristol, City of","Country","E06000023","All","10-11","73","%","3400","4641"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bromley","Country","E09000006","All","10-11","82","%","3008","3653"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Buckinghamshire","Country","E10000002","All","10-11","79","%","4833","6119"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bury","Country","E08000002","All","10-11","76","%","1739","2297"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Calderdale","Country","E08000033","All","10-11","74","%","1949","2629"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cambridgeshire","Country","E10000003","All","10-11","75","%","5092","6769"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Camden","Country","E09000007","All","10-11","82","%","1231","1501"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Central Bedfordshire","Country","E06000056","All","10-11","74","%","2451","3293"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cheshire East","Country","E06000049","All","10-11","81","%","3270","4036"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cheshire West and Chester","Country","E06000050","All","10-11","78","%","2981","3808"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","City of London","Country","E09000001","All","10-11","76","%","22","29"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cornwall","Country","E06000052","All","10-11","75","%","4342","5779"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","County Durham","Country","E06000047","All","10-11","78","%","4317","5560"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Coventry","Country","E08000026","All","10-11","72","%","2998","4179"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Croydon","Country","E09000008","All","10-11","77","%","3420","4462"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cumbria","Country","E10000006","All","10-11","78","%","3986","5124"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Darlington","Country","E06000005","All","10-11","78","%","961","1231"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Derby","Country","E06000015","All","10-11","71","%","2285","3218"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Derbyshire","Country","E10000007","All","10-11","76","%","6247","8223"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Devon","Country","E10000008","All","10-11","77","%","6021","7792"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Doncaster","Country","E08000017","All","10-11","70","%","2470","3506"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Dorset","Country","E10000009","All","10-11","74","%","3209","4325"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Dudley","Country","E08000027","All","10-11","69","%","2513","3660"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Ealing","Country","E09000009","All","10-11","77","%","3167","4098"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","East Riding of Yorkshire","Country","E06000011","All","10-11","77","%","2723","3549"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","East Sussex","Country","E10000011","All","10-11","76","%","4060","5327"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Enfield","Country","E09000010","All","10-11","74","%","3279","4437"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Essex","Country","E10000012","All","10-11","77","%","12404","16115"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Gateshead","Country","E08000037","All","10-11","81","%","1691","2085"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Gloucestershire","Country","E10000013","All","10-11","76","%","4914","6464"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Greenwich","Country","E09000011","All","10-11","79","%","2581","3247"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hackney","Country","E09000012","All","10-11","78","%","1970","2516"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Halton","Country","E06000006","All","10-11","75","%","1101","1467"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hammersmith and Fulham","Country","E09000013","All","10-11","83","%","1109","1340"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hampshire","Country","E10000014","All","10-11","79","%","11376","14463"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Haringey","Country","E09000014","All","10-11","75","%","2318","3071"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Harrow","Country","E09000015","All","10-11","81","%","2242","2754"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Hartlepool","Country","E06000001","All","10-11","76","%","858","1133"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Havering","Country","E09000016","All","10-11","78","%","2308","2961"
"Percentage of pupils reaching the key stage 2 expected standard in reading by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Herefordshire, County of","Country","E06000019","All","10-11","80","%","1502","1881"
