"gender","Ethnicity","Expected standard"," Higher standard"
"Boys","All","61","8"
"Boys","Asian","65","10"
"Boys","Bangladeshi","66","9"
"Boys","Indian","73","15"
"Boys","Pakistani","58","6"
"Boys","Asian other","69","12"
"Boys","Black","58","7"
"Boys","Black African","62","8"
"Boys","Black Caribbean","49","4"
"Boys","Black other","56","5"
"Boys","Chinese","78","23"
"Boys","Mixed","62","9"
"Boys","Mixed White/Asian","69","13"
"Boys","Mixed White/Black African","61","8"
"Boys","Mixed White/Black Caribbean","52","5"
"Boys","Mixed other","65","11"
"Boys","White","60","8"
"Boys","White British","61","8"
"Boys","White Irish","65","12"
"Boys","Gypsy/Roma","15","1"
"Boys","Irish Traveller","22","0"
"Boys","White other","57","8"
"Boys","Other","57","8"
"Boys","Unknown","49","7"
"Girls","All","68","12"
"Girls","Asian","72","14"
"Girls","Bangladeshi","73","13"
"Girls","Indian","80","21"
"Girls","Pakistani","65","9"
"Girls","Asian other","75","18"
"Girls","Black","68","10"
"Girls","Black African","70","11"
"Girls","Black Caribbean","61","6"
"Girls","Black other","67","9"
"Girls","Chinese","85","33"
"Girls","Mixed","69","13"
"Girls","Mixed White/Asian","75","18"
"Girls","Mixed White/Black African","70","11"
"Girls","Mixed White/Black Caribbean","62","8"
"Girls","Mixed other","72","15"
"Girls","White","68","11"
"Girls","White British","69","11"
"Girls","White Irish","75","17"
"Girls","Gypsy/Roma","20","0"
"Girls","Irish Traveller","23","0"
"Girls","White other","65","11"
"Girls","Other","64","10"
"Girls","Unknown","56","10"
