"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","Value","Value_type","Numerator","Denominator","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","46","%","42002","91034","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","68","%","356902","528316","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","57","%","5262","9273","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","70","%","41066","58587","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","58","%","760","1319","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","74","%","7414","10056","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","63","%","1389","2197","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","70","%","6167","8765","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","54","%","4509","8277","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","66","%","19088","29083","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","57","%","2993","5212","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","68","%","13592","19993","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","47","%","918","1951","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","58","%","3069","5265","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","54","%","598","1114","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","63","%","2427","3825","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","77","%","111","145","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","82","%","1956","2398","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","61","%","578","940","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","77","%","13305","17225","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","50","%","3672","7395","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","70","%","19600","28090","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","53","%","1249","2335","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","71","%","7467","10485","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","52","%","671","1283","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","76","%","5317","7024","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","51","%","547","1064","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","69","%","2587","3730","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","44","%","1205","2713","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","62","%","4229","6851","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","49","%","1318","2664","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM All Other","64","%","5731","8983","",""
"% of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity and FSM","Pakistani","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England","E92000001","AllPupils","FSM","53","%","2535","4817","",""
