"fsm","Ethnicity","%"
"FSM","All","47"
"FSM","Asian","58"
"FSM","Bangladeshi","66"
"FSM","Indian","62"
"FSM","Pakistani","55"
"FSM","Asian other","58"
"FSM","Black","57"
"FSM","Black African","60"
"FSM","Black Caribbean","48"
"FSM","Black other","54"
"FSM","Chinese","75"
"FSM","Mixed","51"
"FSM","Mixed White/Asian","53"
"FSM","Mixed White/Black African","53"
"FSM","Mixed White/Black Caribbean","47"
"FSM","Mixed other","52"
"FSM","White","44"
"FSM","White British","44"
"FSM","White Irish","47"
"FSM","Gypsy/Roma","17"
"FSM","Irish Traveller","23"
"FSM","White other","49"
"FSM","Other","51"
"Non-FSM","All","68"
"Non-FSM","Asian","71"
"Non-FSM","Bangladeshi","71"
"Non-FSM","Indian","78"
"Non-FSM","Pakistani","64"
"Non-FSM","Asian other","74"
"Non-FSM","Black","67"
"Non-FSM","Black African","69"
"Non-FSM","Black Caribbean","60"
"Non-FSM","Black other","63"
"Non-FSM","Chinese","80"
"Non-FSM","Mixed","71"
"Non-FSM","Mixed White/Asian","77"
"Non-FSM","Mixed White/Black African","71"
"Non-FSM","Mixed White/Black Caribbean","64"
"Non-FSM","Mixed other","72"
"Non-FSM","White","68"
"Non-FSM","White British","69"
"Non-FSM","White Irish","78"
"Non-FSM","Gypsy/Roma","21"
"Non-FSM","Irish Traveller","32"
"Non-FSM","White other","64"
"Non-FSM","Other","65"
