"Ethnicity","Expected standard","Higher standard"
"All","65","11"
"Asian","69","13"
"Bangladeshi","70","13"
"Indian","77","19"
"Pakistani","62","9"
"Asian other","71","15"
"Black","64","9"
"Black African","67","10"
"Black Caribbean","56","6"
"Black other","60","7"
"Chinese","80","28"
"Mixed","66","12"
"Mixed White/Asian","73","17"
"Mixed White/Black African","67","11"
"Mixed White/Black Caribbean","59","7"
"Mixed other","68","14"
"White","64","10"
"White British","65","10"
"White Irish","73","16"
"Gypsy/Roma","19","1"
"Irish Traveller","26","1"
"White other","63","11"
"Other","61","10"
"Unknown","49","8"
