"Ethnicity","Local authority ","%","Pupils"
"All","Barking and Dagenham","66","2,296"
"All","Barnet","73","3,070"
"All","Barnsley","66","1,869"
"All","Bath and North East Somerset","67","1,220"
"All","Bedford","54","1,162"
"All","Bexley","70","2,341"
"All","Birmingham","62","10,080"
"All","Blackburn with Darwen","66","1,452"
"All","Blackpool","67","1,120"
"All","Bolton","65","2,549"
"All","Bournemouth, Christchurch and Poole","67","2,567"
"All","Bracknell Forest","65","921"
"All","Bradford","63","4,949"
"All","Brent","68","2,486"
"All","Brighton and Hove","67","1,802"
"All","Bristol, City of","65","3,141"
"All","Bromley","75","2,785"
"All","Buckinghamshire","66","4,163"
"All","Bury","65","1,539"
"All","Calderdale","65","1,789"
"All","Cambridgeshire","63","4,400"
"All","Camden","73","1,123"
"All","Central Bedfordshire","61","2,129"
"All","Cheshire East","66","2,804"
"All","Cheshire West and Chester","64","2,560"
"All","City of London","82","23"
"All","Cornwall","61","3,589"
"All","County Durham","65","3,737"
"All","Coventry","62","2,738"
"All","Croydon","67","3,092"
"All","Cumbria","66","3,441"
"All","Darlington","66","851"
"All","Derby","61","2,010"
"All","Derbyshire","64","5,569"
"All","Devon","64","5,021"
"All","Doncaster","61","2,274"
"All","Dorset","61","2,384"
"All","Dudley","59","2,285"
"All","Ealing","71","3,085"
"All","East Riding of Yorkshire","65","2,360"
"All","East Sussex","63","3,450"
"All","Enfield","67","3,099"
"All","Essex","66","11,023"
"All","Gateshead","68","1,431"
"All","Gloucestershire","65","4,471"
"All","Greenwich","73","2,454"
"All","Hackney","66","1,711"
"All","Halton","60","959"
"All","Hammersmith and Fulham","73","968"
"All","Hampshire","68","10,057"
"All","Haringey","66","2,021"
"All","Harrow","74","2,164"
"All","Hartlepool","68","799"
"All","Havering","72","2,159"
"All","Herefordshire, County of","69","1,305"
"All","Hertfordshire","67","9,567"
"All","Hillingdon","69","2,678"
"All","Hounslow","70","2,302"
"All","Isle of Wight","59","758"
"All","Isles of Scilly","47","9"
"All","Islington","70","1,327"
"All","Kensington and Chelsea","77","731"
"All","Kent","68","12,189"
"All","Kingston upon Hull, City of","68","2,183"
"All","Kingston upon Thames","70","1,325"
"All","Kirklees","62","3,452"
"All","Knowsley","63","1,150"
"All","Lambeth","71","2,153"
"All","Lancashire","64","9,007"
"All","Leeds","62","5,764"
"All","Leicester","63","2,977"
"All","Leicestershire","67","5,115"
"All","Lewisham","68","2,351"
"All","Lincolnshire","61","5,015"
"All","Liverpool","62","3,236"
"All","Luton","61","1,986"
"All","Manchester","61","4,140"
"All","Medway","64","2,153"
"All","Merton","69","1,594"
"All","Middlesbrough","64","1,184"
"All","Milton Keynes","66","2,478"
"All","Newcastle upon Tyne","66","1,962"
"All","Newham","76","3,605"
"All","Norfolk","60","5,497"
"All","North East Lincolnshire","65","1,254"
"All","North Lincolnshire","66","1,286"
"All","North Somerset","65","1,559"
"All","North Tyneside","67","1,633"
"All","North Yorkshire","63","4,018"
"All","Northamptonshire","61","5,782"
"All","Northumberland","66","2,367"
"All","Nottingham","63","2,272"
"All","Nottinghamshire","65","6,034"
"All","Oldham","63","2,185"
"All","Oxfordshire","65","4,814"
"All","Peterborough","56","1,675"
"All","Plymouth","64","1,899"
"All","Portsmouth","58","1,288"
"All","Reading","63","1,194"
"All","Redbridge","73","2,987"
"All","Redcar and Cleveland","70","1,154"
"All","Richmond upon Thames","81","1,874"
"All","Rochdale","60","1,803"
"All","Rotherham","59","2,007"
"All","Rutland","67","266"
"All","Salford","65","1,948"
"All","Sandwell","62","2,955"
"All","Sefton","63","1,864"
"All","Sheffield","64","4,036"
"All","Shropshire","65","2,010"
"All","Slough","69","1,630"
"All","Solihull","69","1,806"
"All","Somerset","61","3,593"
"All","South Gloucestershire","67","2,203"
"All","South Tyneside","66","1,106"
"All","Southampton","64","1,788"
"All","Southend-on-Sea","68","1,502"
"All","Southwark","68","2,268"
"All","St. Helens","66","1,450"
"All","Staffordshire","65","6,360"
"All","Stockport","66","2,274"
"All","Stockton-on-Tees","71","1,773"
"All","Stoke-on-Trent","60","1,994"
