"","FSM","Non-FSM"
"Ethnicity","%","%"
"All","47","68"
"Asian","58","71"
"Bangladeshi","66","71"
"Indian","62","78"
"Pakistani","55","64"
"Asian other","58","74"
"Black","57","67"
"Black African","60","69"
"Black Caribbean","48","60"
"Black other","54","63"
"Chinese","75","80"
"Mixed","51","71"
"Mixed White/Asian","53","77"
"Mixed White/Black African","53","71"
"Mixed White/Black Caribbean","47","64"
"Mixed other","52","72"
"White","44","68"
"White British","44","69"
"White Irish","47","78"
"Gypsy/Roma","17","21"
"Irish Traveller","23","32"
"White other","49","64"
"Other","51","65"
