"","Boys","","Girls",""
"Ethnicity","Expected standard"," Higher standard","Expected standard"," Higher standard"
"All","60","9","70","13"
"Asian","65","11","74","16"
"Bangladeshi","66","11","75","15"
"Indian","72","16","81","23"
"Pakistani","58","7","67","10"
"Asian other","67","13","76","18"
"Black","58","7","70","11"
"Black African","61","8","73","13"
"Black Caribbean","49","4","64","7"
"Black other","54","5","67","9"
"Chinese","77","23","83","33"
"Mixed","61","10","72","15"
"Mixed White/Asian","69","14","77","20"
"Mixed White/Black African","60","8","73","14"
"Mixed White/Black Caribbean","53","5","65","8"
"Mixed other","63","11","73","16"
"White","60","8","69","12"
"White British","60","8","70","12"
"White Irish","70","13","75","18"
"Gypsy/Roma","15","0","24","1"
"Irish Traveller","20","2","31","0"
"White other","58","8","68","13"
"Other","57","8","66","12"
