"Ethnicity","Local Authority ","%","Number"
"All","Barking and Dagenham","67","2,270"
"All","Barnet","73","2,901"
"All","Barnsley","65","1,760"
"All","Bath and North East Somerset","66","1,256"
"All","Bedford","48","971"
"All","Bexley","70","2,231"
"All","Birmingham","61","9,524"
"All","Blackburn with Darwen","66","1,427"
"All","Blackpool","62","1,018"
"All","Bolton","66","2,478"
"All","Bournemouth","67","1,112"
"All","Bracknell Forest","64","874"
"All","Bradford","61","4,639"
"All","Brent","63","2,309"
"All","Brighton and Hove","67","1,768"
"All","Bristol, City of","63","2,922"
"All","Bromley","75","2,736"
"All","Buckinghamshire","66","4,051"
"All","Bury","64","1,465"
"All","Calderdale","62","1,622"
"All","Cambridgeshire","61","4,156"
"All","Camden","72","1,087"
"All","Central Bedfordshire","62","2,046"
"All","Cheshire East","68","2,735"
"All","Cheshire West and Chester","64","2,422"
"All","City of London","72","21"
"All","Cornwall","61","3,524"
"All","County Durham","68","3,766"
"All","Coventry","62","2,583"
"All","Croydon","67","3,006"
"All","Cumbria","65","3,318"
"All","Darlington","65","800"
"All","Derby","60","1,942"
"All","Derbyshire","64","5,257"
"All","Devon","64","4,999"
"All","Doncaster","60","2,114"
"All","Dorset","60","2,586"
"All","Dudley","58","2,108"
"All","Ealing","68","2,789"
"All","East Riding of Yorkshire","64","2,280"
"All","East Sussex","64","3,411"
"All","Enfield","65","2,864"
"All","Essex","66","10,557"
"All","Gateshead","71","1,479"
"All","Gloucestershire","63","4,100"
"All","Greenwich","70","2,282"
"All","Hackney","71","1,782"
"All","Halton","63","927"
"All","Hammersmith and Fulham","74","995"
"All","Hampshire","68","9,850"
"All","Haringey","66","2,035"
"All","Harrow","73","2,012"
"All","Hartlepool","67","754"
"All","Havering","70","2,080"
"All","Herefordshire, County of","68","1,279"
"All","Hertfordshire","67","9,084"
"All","Hillingdon","66","2,434"
"All","Hounslow","70","2,065"
"All","Isle of Wight","54","717"
"All","Isles of Scilly","56","19"
"All","Islington","69","1,280"
"All","Kensington and Chelsea","76","728"
"All","Kent","67","11,557"
"All","Kingston upon Hull, City of","67","2,093"
"All","Kingston upon Thames","71","1,265"
"All","Kirklees","62","3,251"
"All","Knowsley","62","1,058"
"All","Lambeth","70","2,075"
"All","Lancashire","65","8,830"
"All","Leeds","61","5,457"
"All","Leicester","62","2,788"
"All","Leicestershire","66","4,940"
"All","Lewisham","69","2,317"
"All","Lincolnshire","60","4,620"
"All","Liverpool","62","3,038"
"All","Luton","59","1,830"
"All","Manchester","62","4,097"
"All","Medway","63","2,042"
"All","Merton","69","1,595"
"All","Middlesbrough","64","1,147"
"All","Milton Keynes","65","2,281"
"All","Newcastle upon Tyne","70","1,932"
"All","Newham","76","3,483"
"All","Norfolk","59","5,222"
"All","North East Lincolnshire","65","1,241"
"All","North Lincolnshire","65","1,278"
"All","North Somerset","64","1,529"
"All","North Tyneside","68","1,520"
"All","North Yorkshire","62","3,634"
"All","Northamptonshire","61","5,488"
"All","Northumberland","65","2,162"
"All","Nottingham","62","2,141"
"All","Nottinghamshire","65","5,889"
"All","Oldham","63","2,103"
"All","Oxfordshire","63","4,472"
"All","Peterborough","54","1,497"
"All","Plymouth","63","1,801"
"All","Poole","61","860"
"All","Portsmouth","57","1,209"
"All","Reading","60","984"
"All","Redbridge","71","2,774"
"All","Redcar and Cleveland","71","1,123"
"All","Richmond upon Thames","81","1,717"
"All","Rochdale","60","1,753"
"All","Rotherham","62","2,005"
"All","Rutland","66","260"
"All","Salford","65","1,858"
"All","Sandwell","61","2,624"
"All","Sefton","67","1,943"
"All","Sheffield","62","3,797"
"All","Shropshire","63","1,864"
"All","Slough","69","1,557"
"All","Solihull","66","1,753"
"All","Somerset","62","3,452"
"All","South Gloucestershire","63","1,981"
"All","South Tyneside","68","1,094"
"All","Southampton","66","1,707"
"All","Southend-on-Sea","69","1,440"
"All","Southwark","69","2,168"
"All","St. Helens","63","1,281"
"All","Staffordshire","65","6,098"
"All","Stockport","67","2,227"
"All","Stockton-on-Tees","71","1,694"
"All","Stoke-on-Trent","58","1,802"
"All","Suffolk","61","4,685"
"All","Sunderland","68","2,176"
"All","Surrey","70","8,440"
"All","Sutton","74","1,699"
"All","Swindon","63","1,763"
"All","Tameside","64","1,778"
"All","Telford and Wrekin","67","1,491"
"All","Thurrock","66","1,554"
"All","Torbay","63","869"
"All","Tower Hamlets","72","2,324"
"All","Trafford","76","2,213"
"All","Wakefield","60","2,315"
"All","Walsall","61","2,200"
"All","Waltham Forest","70","2,264"
"All","Wandsworth","71","1,719"
"All","Warrington","71","1,792"
"All","Warwickshire","67","4,073"
"All","West Berkshire","64","1,130"
"All","West Sussex","62","5,413"
"All","Westminster","72","1,024"
"All","Wigan","70","2,495"
"All","Wiltshire","63","3,267"
"All","Windsor and Maidenhead","69","1,040"
"All","Wirral","60","2,269"
"All","Wokingham","72","1,421"
