"Ethnicity","expected standard","higher standard"
"All","64","10"
"Asian","68","12"
"Bangladeshi","69","11"
"Indian","76","18"
"Pakistani","61","7"
"Asian other","72","15"
"Black","63","8"
"Black African","66","9"
"Black Caribbean","55","5"
"Black other","61","7"
"Chinese","81","28"
"Mixed","66","11"
"Mixed White/Asian","72","16"
"Mixed White/Black African","65","10"
"Mixed White/Black Caribbean","57","6"
"Mixed other","68","13"
"White","64","10"
"White British","65","10"
"White Irish","70","15"
"Gypsy/Roma","18","0"
"Irish Traveller","22","0"
"White other","61","9"
"Other","61","9"
"Unknown","52","8"
