"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority ","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Barking and Dagenham","79","2,703","85","588","82","901","86","6","82","219","74","926"
"Barnet","82","3,249","86","376","77","382","98","54","79","323","83","1,756"
"Barnsley","79","2,152","94","16","86","19","100","4","87","46","79","2,046"
"Bath and North East Somerset","79","1,492","82","23","42","5","71","5","74","74","79","1,370"
"Bedford","71","1,438","73","229","64","82","100","7","68","136","72","959"
"Bexley","83","2,654","91","230","86","525","97","29","80","187","82","1,624"
"Birmingham","76","11,809","78","4,453","76","1,547","88","57","75","990","74","4,031"
"Blackburn with Darwen","78","1,699","81","808","82","27","100","5","77","49","76","800"
"Blackpool","77","1,277","77","24","100","5","89","8","73","40","77","1,194"
"Bolton","80","3,018","84","748","69","156","92","12","85","129","80","1,927"
"Bournemouth","82","1,352","94","64","95","18","92","11","88","94","80","1,138"
"Bracknell Forest","78","1,067","88","75","80","37","100","3","80","66","77","873"
"Bradford","76","5,842","80","2,609","71","86","100","3","75","313","73","2,703"
"Brent","76","2,767","79","833","74","695","83","5","74","190","79","750"
"Brighton and Hove","80","2,110","89","82","77","41","91","10","80","238","80","1,673"
"Bristol, City of","78","3,602","72","276","72","404","92","24","76","275","80","2,577"
"Bromley","87","3,177","91","178","84","282","90","26","86","348","88","2,261"
"Buckinghamshire","78","4,784","81","827","79","131","90","18","78","351","78","3,381"
"Bury","78","1,793","75","252","77","43","100","5","85","100","78","1,363"
"Calderdale","74","1,949","72","290","81","13","50","1","67","63","75","1,565"
"Cambridgeshire","75","5,089","78","216","74","62","95","37","80","288","75","4,400"
"Camden","82","1,232","83","256","78","259","100","7","83","141","83","489"
"Central Bedfordshire","78","2,571","88","74","81","74","92","12","79","169","78","2,212"
"Cheshire East","80","3,229","86","61","74","14","87","13","78","123","80","2,986"
"Cheshire West and Chester","75","2,860","76","45","73","11","87","13","84","92","75","2,682"
"City of London","90","26","100","5","100","2","N/A","N/A","67","2","87","13"
"Cornwall","77","4,451","74","20","100","6","78","7","87","103","77","4,270"
"County Durham","81","4,476","89","31","69","11","77","10","87","62","80","4,329"
"Coventry","77","3,231","83","687","80","432","73","11","76","223","75","1,811"
"Croydon","80","3,555","87","618","77","1,049","100","23","80","533","79","1,226"
"Cumbria","80","4,118","92","33","71","5","86","12","89","56","80","3,963"
"Darlington","82","1,009","93","27","80","4","100","3","93","27","81","941"
"Derby","74","2,389","80","466","82","115","87","13","81","223","72","1,523"
"Derbyshire","79","6,478","86","80","77","24","77","20","77","175","79","6,128"
"Devon","78","6,053","88","38","81","13","86","12","86","154","77","5,754"
"Doncaster","77","2,708","76","79","58","26","88","14","79","82","78","2,473"
"Dorset","76","3,264","76","28","86","12","89","8","82","125","75","3,061"
"Dudley","77","2,803","76","330","78","73","90","9","76","176","77","2,164"
"Ealing","79","3,242","81","978","76","495","93","14","79","306","80","951"
"East Riding of Yorkshire","79","2,799","71","10","100","2","50","1","91","61","79","2,709"
"East Sussex","79","4,217","90","108","65","22","100","12","80","198","79","3,812"
"Enfield","79","3,499","87","342","79","885","92","22","80","346","77","1,630"
"Essex","80","12,829","91","405","86","457","90","66","82","638","79","11,005"
"Gateshead","83","1,721","74","28","91","31","92","12","82","27","82","1,567"
"Gloucestershire","77","4,987","85","169","77","69","77","10","74","237","77","4,426"
"Greenwich","82","2,655","90","219","85","988","88","37","81","271","78","1,054"
"Hackney","84","2,109","91","283","82","749","95","19","79","203","85","714"
"Halton","75","1,103","100","3","75","3","N/A","N/A","85","34","75","1,052"
"Hammersmith and Fulham","82","1,094","84","76","78","275","100","2","81","143","86","459"
"Hampshire","82","11,843","87","366","85","151","94","47","86","492","82","10,671"
"Haringey","82","2,509","89","158","78","643","87","34","86","280","82","1,214"
"Harrow","84","2,308","86","1,166","82","242","100","14","83","171","81","592"
"Hartlepool","82","925","96","26","100","2","75","3","92","11","81","881"
"Havering","83","2,462","90","183","85","297","94","16","86","152","82","1,773"
"Herefordshire, County of","79","1,493","86","6","33","1","100","3","74","32","79","1,438"
"Hertfordshire","79","10,798","87","906","79","468","91","61","82","809","78","8,385"
"Hillingdon","81","2,968","87","885","81","326","80","8","81","371","77","1,134"
"Hounslow","83","2,455","87","797","80","298","100","17","82","207","81","830"
"Isle of Wight","73","964","89","16","0","0","75","3","84","32","73","909"
"Isles of Scilly","71","24","N/A","N/A","N/A","N/A","N/A","N/A","0","0","73","24"
"Islington","81","1,505","82","123","77","339","100","10","85","247","82","688"
"Kensington and Chelsea","87","832","95","35","80","129","100","4","88","154","88","322"
"Kent","82","14,132","90","578","88","378","98","47","85","779","81","12,112"
"Kingston upon Hull, City of","78","2,434","89","41","66","41","100","6","77","100","78","2,178"
"Kingston upon Thames","81","1,455","84","256","64","37","92","23","82","135","81","870"
"Kirklees","76","4,024","76","1,087","76","86","83","10","70","240","77","2,552"
"Knowsley","74","1,271","91","40","100","16","100","5","75","30","74","1,177"
"Lambeth","83","2,459","87","122","81","1,042","93","14","84","355","84","773"
"Lancashire","78","10,651","78","1,251","73","52","91","30","78","353","78","8,890"
"Leeds","74","6,664","76","817","71","472","95","52","73","384","75","4,787"
"Leicester","76","3,399","81","1,542","73","359","100","13","73","230","71","1,133"
"Leicestershire","80","6,049","86","498","81","65","91","29","81","278","80","5,123"
"Lewisham","79","2,675","86","217","76","1,004","89","40","81","383","80","881"
"Lincolnshire","76","5,852","91","64","69","24","88","14","76","179","76","5,512"
"Liverpool","75","3,708","83","145","77","190","86","62","79","198","75","2,985"
"Luton","75","2,324","77","1,106","76","260","50","2","79","198","73","721"
"Manchester","75","4,955","73","1,122","79","956","83","44","77","426","75","2,070"
"Medway","78","2,573","88","131","89","182","100","9","87","195","76","2,013"
"Merton","79","1,819","84","463","75","257","84","16","80","189","78","845"
"Middlesbrough","81","1,454","86","151","75","24","100","2","85","75","81","1,170"
"Milton Keynes","79","2,779","88","387","80","458","86","18","82","227","76","1,629"
"Newcastle upon Tyne","81","2,249","82","336","80","114","88","21","85","99","81","1,619"
"Newham","85","3,924","88","1,851","85","941","93","13","86","248","79","606"
