"Gender","Ethnicity","Expected","Higher","Progress score"
"Boys","All","72","15","-0.8"
"Boys","Asian","77","16","0.3"
"Boys","Bangladeshi","78","16","1.0"
"Boys","Indian","83","23","0.4"
"Boys","Pakistani","72","11","0.0"
"Boys","Asian other","79","19","0.5"
"Boys","Black","72","14","-0.1"
"Boys","Black African","75","15","0.3"
"Boys","Black Caribbean","64","9","-1.3"
"Boys","Black other","69","11","-0.2"
"Boys","Chinese","85","31","1.2"
"Boys","Mixed","73","16","-0.6"
"Boys","Mixed White/Asian","79","22","-0.1"
"Boys","Mixed White/Black African","74","14","-0.4"
"Boys","Mixed White/Black Caribbean","66","10","-1.6"
"Boys","Mixed other","75","18","-0.2"
"Boys","White","72","14","-1.0"
"Boys","White British","72","15","-1.1"
"Boys","White Irish","73","19","-0.9"
"Boys","Gypsy/Roma","26","2","-1.1"
"Boys","Irish Traveller","32","2","-1.8"
"Boys","White other","69","13","0.8"
"Boys","Other","69","14","0.8"
"Boys","Unknown","58","12","-0.9"
"Girls","All","84","25","0.8"
"Girls","Asian","86","27","1.5"
"Girls","Bangladeshi","87","27","2.1"
"Girls","Indian","90","35","1.5"
"Girls","Pakistani","82","19","1.2"
"Girls","Asian other","87","31","1.7"
"Girls","Black","84","23","1.3"
"Girls","Black African","85","24","1.5"
"Girls","Black Caribbean","82","18","0.5"
"Girls","Black other","84","22","1.5"
"Girls","Chinese","93","48","2.8"
"Girls","Mixed","86","27","1.0"
"Girls","Mixed White/Asian","89","33","1.2"
"Girls","Mixed White/Black African","86","26","1.2"
"Girls","Mixed White/Black Caribbean","82","20","0.4"
"Girls","Mixed other","87","30","1.4"
"Girls","White","84","25","0.7"
"Girls","White British","85","25","0.5"
"Girls","White Irish","85","30","1.0"
"Girls","Gypsy/Roma","38","2","0.6"
"Girls","Irish Traveller","42","4","-0.5"
"Girls","White other","80","23","2.4"
"Girls","Other","78","21","1.9"
"Girls","Unknown","70","20","0.9"
