"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local authority ","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"Barking and Dagenham","79","2,759","85","648","84","913","90","9","74","229","73","918","65","31"
"Barnet","82","3,438","87","408","77","384","93","51","83","354","83","1,844","78","359"
"Barnsley","77","2,183","100","25","82","18","100","2","76","54","77","2,059","100","10"
"Bath and North East Somerset","82","1,493","86","24","91","10","60","3","83","78","82","1,360","67","6"
"Bedford","68","1,483","68","224","73","91","67","4","65","164","69","980","54","15"
"Bexley","84","2,809","91","245","87","527","100","56","86","201","81","1,717","79","45"
"Birmingham","76","12,364","79","4,787","75","1,574","85","74","76","1,063","74","4,089","73","623"
"Blackburn with Darwen","79","1,742","83","813","79","26","80","4","86","62","76","813","100","21"
"Blackpool","77","1,281","94","33","40","2","50","2","72","43","77","1,196","50","4"
"Bolton","80","3,148","82","799","68","169","100","6","82","128","80","1,975","77","57"
"Bournemouth, Christchurch and Poole","81","3,101","92","121","81","13","93","13","83","187","80","2,709","70","28"
"Bracknell Forest","79","1,124","95","74","83","40","90","9","80","81","78","907","86","6"
"Bradford","77","6,104","81","2,730","79","104","86","6","75","305","74","2,856","71","72"
"Brent","80","2,910","84","927","76","672","100","9","79","225","79","732","76","326"
"Brighton and Hove","81","2,185","84","71","84","49","84","16","86","242","80","1,725","75","42"
"Bristol, City of","78","3,803","76","296","71","388","87","20","76","337","80","2,709","71","35"
"Bromley","86","3,211","95","202","83","304","100","28","88","363","85","2,208","82","56"
"Buckinghamshire","78","4,890","79","827","73","121","84","21","80","390","78","3,464","74","31"
"Bury","78","1,861","76","274","66","38","83","10","80","93","79","1,417","74","23"
"Calderdale","76","2,078","75","361","56","14","89","8","80","88","76","1,591","73","11"
"Cambridgeshire","75","5,305","80","237","74","64","88","42","75","285","75","4,570","79","48"
"Camden","82","1,257","84","290","78","226","94","16","82","140","82","503","78","63"
"Central Bedfordshire","77","2,671","82","61","84","75","100","4","80","206","76","2,289","83","15"
"Cheshire East","79","3,347","84","72","69","11","79","11","82","144","79","3,082","68","13"
"Cheshire West and Chester","76","3,053","88","53","63","12","76","13","74","78","77","2,872","81","17"
"City of London","86","24","64","7","100","2","N/A","N/A","100","4","100","9","100","2"
"Cornwall","77","4,527","80","12","67","2","89","8","83","118","77","4,322","77","17"
"County Durham","80","4,597","88","30","78","7","72","13","83","83","80","4,439","79","15"
"Coventry","78","3,427","81","776","80","426","86","18","79","232","77","1,905","68","48"
"Croydon","79","3,687","87","632","78","1,031","91","29","77","558","79","1,339","78","54"
"Cumbria","81","4,220","75","33","78","7","75","6","81","62","81","4,048","74","14"
"Darlington","80","1,021","87","27","86","6","100","1","80","24","80","947","82","9"
"Derby","74","2,465","80","500","75","97","100","10","77","190","73","1,593","66","49"
"Derbyshire","79","6,859","83","88","75","18","97","32","79","208","79","6,445","77","17"
"Devon","76","6,043","89","55","91","10","87","20","78","151","76","5,727","64","34"
"Doncaster","78","2,937","83","91","75","41","86","18","76","84","78","2,677","73","16"
"Dorset","76","2,954","85","23","75","9","83","10","76","93","76","2,804","67","2"
"Dudley","76","2,960","81","330","76","71","79","11","72","186","77","2,303","59","48"
"Ealing","81","3,522","83","1,034","78","537","94","17","84","303","82","1,074","79","524"
"East Riding of Yorkshire","79","2,891","94","16","57","4","100","2","79","62","79","2,772","78","14"
"East Sussex","79","4,344","85","98","80","33","93","13","79","255","79","3,877","63","20"
"Enfield","80","3,695","88","336","79","927","90","26","83","399","77","1,742","83","206"
"Essex","80","13,314","90","406","85","444","98","53","82","743","79","11,416","83","110"
"Gateshead","81","1,704","87","40","89","33","89","8","84","32","81","1,556","73","24"
"Gloucestershire","78","5,326","86","176","74","82","88","15","82","278","78","4,702","82","18"
"Greenwich","83","2,792","89","252","85","1,039","85","41","84","287","79","1,095","86","70"
"Hackney","84","2,186","86","268","83","787","91","10","88","237","82","736","88","134"
"Halton","76","1,216","71","5","100","1","N/A","N/A","73","24","76","1,176","20","1"
"Hammersmith and Fulham","84","1,114","88","70","80","296","100","3","80","147","88","446","87","129"
"Hampshire","81","12,099","87","415","83","154","87","46","83","487","81","10,865","84","81"
"Haringey","81","2,497","91","172","78","627","90","27","82","282","83","1,232","74","139"
"Harrow","86","2,507","89","1,253","81","228","100","8","82","210","82","677","80","97"
"Hartlepool","81","952","83","20","33","1","89","8","87","13","81","905","40","2"
"Havering","84","2,528","91","224","88","320","89","8","86","181","82","1,747","90","18"
"Herefordshire, County of","81","1,516","90","9","86","6","67","2","80","48","81","1,441","71","5"
"Hertfordshire","79","11,355","84","1,025","78","511","82","56","81","820","79","8,740","76","128"
"Hillingdon","82","3,188","86","928","75","334","100","6","83","386","80","1,226","81","260"
"Hounslow","82","2,724","88","948","78","308","94","17","81","237","79","871","83","311"
"Isle of Wight","74","955","70","7","67","2","80","4","80","40","75","899","100","1"
"Isles of Scilly","74","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","72","13","N/A","N/A"
"Islington","82","1,556","84","127","78","380","100","10","82","251","82","688","87","85"
"Kensington and Chelsea","85","804","86","36","85","155","67","2","84","158","87","301","82","134"
"Kent","82","14,673","91","664","87","458","96","49","84","825","81","12,427","80","127"
"Kingston upon Hull, City of","79","2,546","91","48","80","52","100","5","81","95","79","2,280","78","58"
"Kingston upon Thames","81","1,548","86","286","83","30","93","28","82","175","79","901","83","109"
"Kirklees","77","4,301","78","1,175","70","72","88","14","76","279","78","2,702","66","33"
"Knowsley","75","1,360","89","34","67","8","50","1","74","29","75","1,276","67","6"
"Lambeth","81","2,466","88","138","79","1,064","82","14","84","352","83","763","78","119"
"Lancashire","78","10,998","79","1,261","75","43","88","36","80","384","78","9,185","73","47"
"Leeds","75","7,015","76","849","72","547","87","45","74","468","76","4,944","66","120"
"Leicester","76","3,615","82","1,661","79","380","88","15","74","247","70","1,197","77","82"
"Leicestershire","81","6,214","88","507","85","77","86","24","83","314","81","5,232","80","24"
"Lewisham","78","2,720","86","177","75","1,031","83","39","80","446","80","903","74","83"
"Lincolnshire","77","6,368","94","82","86","36","88","22","82","203","77","5,943","78","28"
"Liverpool","75","3,936","79","186","76","189","87","69","79","232","75","3,108","67","141"
"Luton","74","2,415","75","1,153","75","260","89","8","78","217","71","718","78","40"
"Manchester","75","5,046","76","1,173","77","925","83","53","77","442","74","2,070","70","348"
"Medway","78","2,648","89","166","87","212","86","6","78","176","77","2,045","82","28"
"Merton","80","1,839","85","416","73","254","100","15","76","174","80","908","83","60"
"Middlesbrough","78","1,433","82","162","78","14","N/A","N/A","74","83","78","1,132","79","37"
"Milton Keynes","78","2,936","87","423","78","418","96","25","80","248","76","1,733","93","28"
"Newcastle upon Tyne","80","2,364","85","346","81","154","94","34","81","110","79","1,651","74","59"
"Newham","85","4,040","88","1,891","84","935","100","20","86","269","79","657","85","239"
"Norfolk","75","6,888","89","127","78","64","87","33","78","252","74","6,300","75","59"
"North East Lincolnshire","81","1,544","94","17","86","6","100","1","84","49","80","1,445","81","17"
"North Lincolnshire","83","1,618","88","67","83","10","100","3","85","29","82","1,488","71","10"
"North Somerset","80","1,927","82","27","92","11","100","8","85","78","80","1,792","100","4"
"North Tyneside","80","1,955","86","50","89","17","94","16","86","65","80","1,796","75","6"
"North Yorkshire","78","4,972","79","66","61","19","100","10","79","137","79","4,692","68","17"
"Northamptonshire","77","7,261","87","387","81","429","97","32","74","386","76","5,924","77","54"
"Northumberland","80","2,846","89","51","60","3","100","7","80","53","80","2,714","75","9"
"Nottingham","76","2,704","83","481","77","341","75","9","78","380","73","1,410","69","72"
"Nottinghamshire","79","7,384","84","242","76","84","88","23","83","348","79","6,579","76","45"
"Oldham","76","2,652","78","915","76","99","85","11","78","139","75","1,460","44","12"
"Oxfordshire","78","5,833","80","371","74","156","85","17","77","394","79","4,751","68","68"
"Peterborough","71","2,134","74","420","75","101","75","6","73","138","70","1,417","72","26"
"Plymouth","78","2,290","81","22","92","22","100","10","80","72","77","2,120","73","29"
"Portsmouth","76","1,688","91","109","76","58","67","6","85","102","74","1,361","72","31"
"Reading","77","1,452","84","319","76","145","91","10","74","160","76","777","71","17"
"Redbridge","87","3,550","90","1,970","82","383","100","21","87","266","83","822","85","46"
"Redcar and Cleveland","82","1,350","80","8","80","4","100","1","92","46","82","1,282","14","1"
"Richmond upon Thames","89","2,049","87","181","62","36","88","21","86","196","90","1,545","83","45"
"Rochdale","75","2,265","76","603","72","91","100","12","70","81","76","1,446","68","25"
"Rotherham","78","2,629","80","210","83","55","83","10","75","82","77","2,236","86","24"
"Rutland","80","315","100","5","50","3","N/A","N/A","100","12","79","289","100","4"
"Salford","78","2,334","88","90","84","144","100","1","80","193","78","1,827","62","61"
"Sandwell","77","3,657","81","1,131","77","376","92","22","74","327","75","1,697","75","86"
"Sefton","77","2,265","87","26","71","10","100","7","81","62","77","2,144","54","7"
"Sheffield","78","4,892","80","629","76","290","89","42","76","369","77","3,363","78","172"
"Shropshire","79","2,441","88","21","86","6","75","3","83","77","79","2,319","75","3"
"Slough","82","1,939","89","1,006","83","175","67","2","78","166","72","495","88","81"
"Solihull","80","2,114","85","291","84","48","97","29","79","174","79","1,519","88","28"
"Somerset","77","4,536","80","64","81","13","92","12","79","141","77","4,267","44","8"
"South Gloucestershire","82","2,712","87","90","82","37","82","9","85","144","82","2,399","77","20"
"South Tyneside","81","1,351","82","47","100","10","100","3","79","34","81","1,246","78","7"
"Southampton","78","2,196","81","300","83","75","94","15","81","142","77","1,617","82","42"
"Southend-on-Sea","82","1,813","94","132","81","52","83","19","84","123","81","1,453","94","15"
"Southwark","81","2,700","86","154","80","1,205","87","26","81","304","82","763","79","199"
"St. Helens","80","1,769","95","19","92","11","90","9","81","35","80","1,689","50","4"
"Staffordshire","80","7,804","84","373","68","52","86","32","78","275","80","6,994","80","37"
"Stockport","81","2,768","82","206","69","31","82","18","77","141","81","2,335","63","20"
"Stockton-on-Tees","83","2,082","83","114","89","24","71","5","88","59","83","1,868","71","5"
