"Ethnicity","Expected","Higher","Progress"
"All","78","20","0.0"
"Asian","82","22","1.0"
"Bangladeshi","83","23","1.5"
"Indian","87","30","1.1"
"Pakistani","78","16","0.6"
"Asian other","83","25","1.2"
"Black","78","19","0.5"
"Black African","80","21","0.8"
"Black Caribbean","73","14","-0.5"
"Black other","75","16","0.4"
"Chinese","88","37","1.8"
"Mixed","80","22","0.2"
"Mixed White/Asian","84","28","0.6"
"Mixed White/Black African","79","22","0.3"
"Mixed White/Black Caribbean","74","15","-0.7"
"Mixed other","81","24","0.6"
"White","78","20","-0.2"
"White British","79","20","-0.3"
"White Irish","82","26","0.4"
"Gypsy/Roma","33","2","-0.4"
"Irish Traveller","40","3","-1.0"
"White other","75","19","1.4"
"Other","73","18","1.3"
"Unknown","60","14","-0.3"
