"measure","ethnicity","ethnicity_type","time","time_type","geography","geography_type","geography_code","gender","age","value","value_type","denominator","numerator"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","All","10-11","79","%","3499","2759"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","10-11","73","%","1779","1301"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","10-11","85","%","1720","1458"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barking and Dagenham","Local authority","E09000002","Other","10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","All","10-11","82","%","4185","3438"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Boys","10-11","76","%","2115","1612"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Girls","10-11","88","%","2070","1826"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barnet","Local authority","E09000003","Other","10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","All","10-11","77","%","2817","2183"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Boys","10-11","72","%","1439","1043"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Girls","10-11","83","%","1378","1140"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Barnsley","Local authority","E08000016","Other","10-11","N/A","%","N/A","N/A"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","All","10-11","82","%","1812","1493"
"Percentage of pupils reaching the expected standard in key stage 2 writing","All","DfE 6+1","2018-2019","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys","10-11","76","%","913","691"
