"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Numerator","Denominator"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","78","%","484750","619473"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","229261","316644"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","All","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","84","%","255489","302829"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","81","%","55208","67865"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","77","%","26801","34819"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","86","%","28407","33046"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","83","%","9423","11376"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","79","%","4628","5888"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Asian Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","87","%","4795","5488"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","82","%","9035","10964"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","78","%","4399","5623"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Bangladeshi","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","87","%","4636","5341"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","78","%","29206","37379"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","72","%","13497","18783"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","84","%","15709","18596"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","80","%","20183","25216"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","9419","12604"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","85","%","10764","12612"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","73","%","5240","7218"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","64","%","2328","3649"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","82","%","2912","3569"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","77","%","3783","4945"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","69","%","1750","2530"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Black Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","84","%","2033","2415"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","89","%","2265","2543"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","85","%","1079","1264"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Chinese","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","93","%","1186","1279"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","86","%","15707","18167"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","83","%","7764","9376"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Indian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","90","%","7943","8791"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","79","%","28209","35491"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","73","%","13274","18061"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","86","%","14935","17430"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","81","%","10370","12822"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","75","%","4982","6602"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed Other","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","87","%","5388","6220"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","84","%","6949","8307"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","79","%","3320","4208"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Asian","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","89","%","3629","4099"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","80","%","3838","4795"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Boys","74","%","1833","2476"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Black African","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","Girls","86","%","2005","2319"
"% of pupils reaching the key stage 2 expected standard in writing by ethnicity and gender","Mixed White and Black Caribbean","ONS 2001 16+1 plus Irish Traveller and Gypsy/Roma","2017-2018","Academic Year","All","England ","E92000001","AllPupils","74","%","7052","9567"
