"Ethnicity","Average Point Score","Grade","Number of students"
"All","31.25","Dist-","78,939"
"Asian","31.41","Dist-","10,045"
"Bangladeshi","32.16","Dist-","1,854"
"Indian","31.78","Dist-","2,496"
"Pakistani","31.25","Dist-","4,253"
"Asian other","30.23","Dist-","1,442"
"Black","29.80","Merit+","5,768"
"Black African","30.01","Dist-","3,935"
"Black Caribbean","29.58","Merit+","1,158"
"Black other","28.90","Merit+","675"
"Chinese","34.64","Dist","202"
"Mixed","30.07","Dist-","3,365"
"Mixed White/Asian","30.90","Dist-","672"
"Mixed White/Black African","30.02","Dist-","465"
"Mixed White/Black Caribbean","29.79","Merit+","914"
"Mixed other","29.91","Merit+","1,314"
"White","31.46","Dist-","53,321"
"White British","31.52","Dist-","49,177"
"White Irish","32.33","Dist-","219"
"Gypsy/Roma","30.05","Dist-","47"
"Irish Traveller","29.52","Merit+","8"
"White other","30.63","Dist-","3,870"
"Other","30.97","Dist-","1,471"
"Unknown","31.43","Dist-","4,767"
