"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Age","Value","Value_type","APS per entry as a grade","Number of Students"
"16-18 APS per entry - A level","All","All","2018/19","Academic Year","England","Country","16-18","34.01","Average Point Score","C+","283532"
"16-18 APS per entry - Academic","All","All","2018/19","Academic Year","England","Country","16-18","34.33","Average Point Score","C+","290481"
"16-18 APS per entry - Applied General","All","All","2018/19","Academic Year","England","Country","16-18","28.91","Average Point Score","Merit+","68772"
"16-18 APS per entry - Level 3","All","All","2018/19","Academic Year","England","Country","16-18","33.42","Average Point Score","NA","329815"
"16-18 APS per entry - Tech level","All","All","2018/19","Academic Year","England","Country","16-18","28.64","Average Point Score","Merit+","19485"
"16-18 APS per entry - A level","Other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.73","Average Point Score","C+","4494"
"16-18 APS per entry - Academic","Other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.8","Average Point Score","C+","4610"
"16-18 APS per entry - Applied General","Other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.13","Average Point Score","Merit+","1198"
"16-18 APS per entry - Level 3","Other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.32","Average Point Score","NA","5200"
"16-18 APS per entry - Tech level","Other","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.72","Average Point Score","Merit+","215"
"16-18 APS per entry - A level","Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.64","Average Point Score","C","31468"
"16-18 APS per entry - Academic","Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.77","Average Point Score","C+","32007"
"16-18 APS per entry - Applied General","Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.09","Average Point Score","Merit+","8706"
"16-18 APS per entry - Level 3","Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","31.29","Average Point Score","NA","36563"
"16-18 APS per entry - Tech level","Asian","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.12","Average Point Score","Merit+","1626"
"16-18 APS per entry - A level","Black","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.91","Average Point Score","C","13889"
"16-18 APS per entry - Academic","Black","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","29.14","Average Point Score","C","14259"
"16-18 APS per entry - Applied General","Black","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","27.27","Average Point Score","Merit+","4879"
"16-18 APS per entry - Level 3","Black","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.74","Average Point Score","NA","16907"
"16-18 APS per entry - Tech level","Black","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","28.06","Average Point Score","Merit+","803"
"16-18 APS per entry - A level","Chinese","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","38.42","Average Point Score","B","1676"
"16-18 APS per entry - Academic","Chinese","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","38.54","Average Point Score","B","1721"
"16-18 APS per entry - Applied General","Chinese","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","30.19","Average Point Score","Dist-","195"
"16-18 APS per entry - Level 3","Chinese","ONS 2001 16+1","2018/19","Academic Year","England","Country","16-18","37.98","Average Point Score","NA","1791"
