"Ethnicity","Average Point Score","Grade","Number of students"
"All","32.82","Dist-","85,832"
"Asian","32.84","Dist-","10,187"
"Bangladeshi","33.36","Dist","1,964"
"Indian","33.66","Dist","2,530"
"Pakistani","32.28","Dist-","4,197"
"Asian other","32.34","Dist-","1,496"
"Black","30.37","Dist-","6,383"
"Black African","30.44","Dist-","4,409"
"Black Caribbean","30.34","Dist-","1,239"
"Black other","30.01","Dist-","735"
"Chinese","33.78","Dist","238"
"Mixed","31.33","Dist-","3,994"
"Mixed White/Asian","32.16","Dist-","822"
"Mixed White/Black African","30.55","Dist-","527"
"Mixed White/Black Caribbean","31.29","Dist-","1,115"
"Mixed other","31.23","Dist-","1,530"
"White","33.20","Dist-","57,811"
"White British","33.29","Dist-","53,374"
"White Irish","33.65","Dist","226"
"Gypsy/Roma","32.00","Dist-","57"
"Irish Traveller","32.77","Dist-","11"
"White other","32.13","Dist-","4,143"
"Other","32.19","Dist-","1,524"
"Unknown","33.27","Dist-","5,695"
