"Ethnicity","Average Point Score","Grade","Number of students"
"All","31.76","Dist-","20,213"
"Asian","31.92","Dist-","1,548"
"Bangladeshi","31.69","Dist-","253"
"Indian","33.08","Dist-","388"
"Pakistani","31.30","Dist-","689"
"Asian other","32.20","Dist-","218"
"Black","30.38","Dist-","928"
"Black African","31.43","Dist-","556"
"Black Caribbean","28.57","Merit+","260"
"Black other","29.48","Merit+","112"
"Chinese","37.94","Dist+","46"
"Mixed","30.25","Dist-","791"
"Mixed White/Asian","30.91","Dist-","148"
"Mixed White/Black African","29.91","Merit+","95"
"Mixed White/Black Caribbean","31.18","Dist-","216"
"Mixed other","29.36","Merit+","332"
"White","31.81","Dist-","15,547"
"White British","31.77","Dist-","14,656"
"White Irish","30.78","Dist-","50"
"Gypsy/Roma","26.14","Merit","9"
"Irish Traveller","25.00","Merit","3"
"White other","32.69","Dist-","829"
"Other","32.78","Dist-","248"
"Unknown","32.61","Dist-","1,105"
